Id,InDegree,OutDegree,Degree,ModularityClass,Tags,Urls
fc2d380e-3f07-46f7-9b71-abce85719226,119,1,120,B,,http://lmsi.net/?page=presentation
e59797b4-55fa-4e1a-afad-f1150128b96f,23,23,46,A,eat,http://www.amap-idf.org
e20bccbf-ad6e-4679-838d-79ed5eea0aff,71,96,167,D,web,http://www.internetactu.net/2015/05/07/technologie-cest-a-nous-den-etre-les-maitres-oui-mais-comment
79365265-e88c-4bd8-a102-6fcf07b06fdb,1,8,9,A,,http://gpclimat.blogspot.ch/p/texte-fondateur.html
c18627eb-6271-4cf2-9670-cddbbc82d40a,27,13,40,A,group,http://www.institutmomentum.org/le-manifeste/
b526513e-aff7-4811-818d-c36b0c0313c2,4,0,4,A,video history,http://www.maintenantnosterres.com
49feb6b2-a9be-4930-a0e9-2fda05b5081a,7,2,9,E,web science,http://technologos.fr
ea74c242-943b-46b3-91ba-845168e6497c,0,0,0,NC,video,http://www.dailymotion.com/lappeletlapioche
2b3b9eef-ca5a-42f7-a444-2a764aae864d,32,1,33,F,move,http://covoiturage-libre.fr
3394d78c-d601-4937-aa64-b957c996bb4b,12,1,13,A,object,http://myrecyclestuff.com
dbc7f967-c2f9-415e-ad4b-d2d7f1e5d01a,0,7,7,B,creation,http://pouleouoeuf.com/fr
d376ec55-9804-4a2e-a5e5-87b20b73167f,6,12,18,B,,http://jaiundoute.com
5c4c180a-7f5e-4006-8642-936def516280,26,10,36,B,,http://partage-le.com
05f19401-5da5-4836-80f9-4230b8b4c00c,8,0,8,B,,"http://www.influencia.net/fr/actualites/com-media,audace,dessine-moi-drogue-numerique,5342.html"
01252107-1bd7-4ce3-bd9b-bc3da64b3ee3,3,27,30,A,economy companies,http://jechangedebanque.org/toutes-les-banques-ne-se-valent-pas/
c0698853-9834-4fc5-bbff-0428d85c5cb2,15,22,37,A,,http://www.financeresponsable.org/entreprise.php
92b67418-91c6-4fc6-9e1c-980f509b68c6,58,159,217,B,map,http://lesmoutonsenrages.fr/carte-des-moutons-2/
0b52d3bc-442c-4684-9649-6ca1add227c2,0,1,1,B,,http://www.hclbox.org/fr/boxes
4e21c8ca-d246-42cb-9805-ec1632dd830c,5,3,8,D,,http://dark-mountain.net/about/manifesto/
86e67904-a37e-4ada-a688-a06f9344a606,34,34,68,A,map list economy,http://www.lemarchecitoyen.net
217bca75-2e86-4695-88a4-72f7c3d65307,4,32,36,A,,http://transition-paysstbrieuc.org
b521c0bd-8677-4a03-ae5d-d887cacea97e,4,2,6,D,,http://transitiondemocratique.net
8b7c332d-e61f-4894-b559-0e1c23064a99,14,54,68,A,,http://montreuilentransition.fr
ea421006-8a0a-4c32-b8ce-2c4532814a6d,4,0,4,E,,http://quebecentransition.org
3f67b797-8c0a-4a4a-b794-729e2f259046,91,111,202,A,,http://www.transitionfrance.fr
9310a1fe-3c31-49bc-aafa-57afc6112085,37,48,85,E,alienation group,http://www.deboulonneurs.org
7d35e654-c8ea-4da6-9320-cd87d8035d00,17,1,18,A,object,http://recupe.net
5522a4ed-d593-45ea-8e5a-d5db7025d7b8,15,15,30,E,,http://transitionus.org
3fb42637-e5a0-4630-b6cc-92a7760ecd4b,80,66,146,A,group,http://www.transitioncitoyenne.org
e7e56d5e-1060-4e56-b735-d16b35911aeb,4,0,4,E,economy,http://revenudebase.free.fr
3beac5c2-28e7-472c-a8c0-9f1f258918b2,9,0,9,A,,http://www.en-transition.fr
46c24dcf-0e8c-4e31-8430-c9d4eadafb06,1,0,1,A,,http://2mains-asso.fr
5c169bd1-fe7d-4579-8488-25ce1066b64d,0,8,8,A,,http://alternati-var.tumblr.com
63175dab-8d4d-4503-b32e-dcfc7fd7bdb3,19,25,44,E,,http://www.reseautransition.be
dd3b87d3-9fa6-4ccd-a97e-deef0d90d73e,6,0,6,B,,http://www.mrc-france.org
07ee8471-49fb-4cb3-9ce8-ec5b31edafd9,0,39,39,E,video,http://utopimages.fr
d78a4110-dc4d-4e36-90ba-68ecfe548ec8,9,43,52,B,,http://conscience-du-peuple.blogspot.com
f69e79a7-4a4b-4ad7-b836-5b2e48e540ee,3,41,44,D,,http://opendotdotdot.blogspot.com
97b67d21-a7fa-4472-8f34-03c506187d04,2,13,15,B,,http://deepgreenresistance.blogspot.com
4a5e7518-61be-432b-a8fa-96e9c86d3e94,3,2,5,E,economy,http://le-revenu-de-base.blogspot.com
6401546e-482c-415f-a677-272ad1b6a843,1,0,1,D,audio,http://radio-guerrilla.blogspot.com
1dc56c2b-889f-44cf-a07a-6b8d62df7013,1,0,1,A,off,http://tempetemob.blogspot.com
795c1844-1005-46e2-8dae-514a40dfd9ae,173,99,272,B,media,http://www.agoravox.fr
0544f70f-3739-4538-b267-eefe56e9dbab,30,14,44,F,calendar @angers @maineetloire,http://alter49.org
9b5b9260-b03a-4281-bb1d-ae4001df826a,1,40,41,B,,http://animal-penseur.blogspot.com
f49d7040-e6d4-4248-adc5-45104bb42722,1,16,17,B,,http://aulapinblanc.blogspot.com
f004ac71-4987-4fef-9877-c83bcdb0a945,7,9,16,A,,http://collectif3r.blogspot.com
ede29686-b403-4963-82f6-c17471f06be7,4,4,8,B,,http://leclebard.blogspot.com
388666fa-3173-4e17-ab62-53c6d29762f0,3,13,16,A,,http://chavilleentransition.com
60e682e7-3465-4a91-bfb6-c87ee27b4221,7,200,207,A,,http://mediascitoyens-diois.blogspot.com
615eabe1-69eb-45e2-aab8-7a9b096a6213,103,9,112,A,energy,http://negawatt.org
19b042ef-d756-4b60-af70-ec90ff6f7e17,2,0,2,A,,http://cantal-en-transition.org
4db71e83-bd12-43ea-acd6-bd8c859c921f,13,43,56,B,,http://onsefechier-anatic6.blogspot.com
3c208d7f-6813-40e5-8d5a-e1aef20b652c,1,34,35,B,,http://canard-aux-figues.blogspot.com
49698648-1e44-4269-b74b-ad992b5fdf94,1,1,2,NC,,http://commedesguilis.blogspot.com
0e2f5a8c-21c8-480d-8c1c-7e025ea5627f,5,0,5,A,,http://observatoire-territoires-durables.org
d243266c-41be-44fb-80b8-a6e2b83eb586,2,0,2,F,,http://alter49.free.fr
938a506e-a2df-446d-91f7-d761e81dc05e,4,0,4,A,,http://alter-actifs.org
a551fae9-8a94-4b28-8362-3ab39e8419f2,3,3,6,C,,http://marchedeschomeurs-brest.blogspot.com
c902e8b8-3640-47fc-bc13-fef0809e0c1c,8,8,16,B,,http://ladominationdumonde.blogspot.com
f9839f0d-ae85-45d5-a06f-d9ea19c11ddb,1,0,1,E,,http://laurie-apprentie.blogspot.com
c3eb5b6f-b331-4a29-87a8-edce8c33d62e,8,7,15,B,,http://lesoutien.blogspot.com
b941267b-bed7-401f-bedd-47e8c91362a2,1,0,1,B,,http://amisdumondediplomatique66.fr
01ae1a61-df00-4b2d-a660-c7bf9e9a6883,1,3,4,B,,http://anti-ntp.blogspot.com
34c63b61-54b5-45a2-adcb-62b45d711433,1,0,1,B,,http://soutien-rebellion-donbass.blogspot.com
a9887b6b-0cbb-412c-bb66-17caaa70ba73,31,0,31,C,,http://altervista.org
2e9be9ba-2200-41d2-aba3-b4df7fc294e0,2,22,24,A,,http://attentionalaterre.blogspot.com
8c7a1f48-0977-402b-8161-02e88aed423a,1,39,40,B,,http://lafourmirouge.blogspot.com
b16788ad-4243-475a-aa6e-a9a43925d777,13,0,13,A,,http://festival-transition.coop
1335210b-7b72-429d-a3b9-56b7e4d78fc2,4,0,4,E,video,http://utopimages.org
4e0afd48-9e50-4259-a010-807ed102a8f2,1,24,25,A,,http://defenseetenvironnement.blogspot.com
a5eccb3d-e14a-468f-9594-fc8f65bb6e92,1,2,3,C,,http://mysticbourgeoisie.blogspot.com
2b2e1fc9-d320-4991-95cd-5b0faec578c5,2,23,25,B,,http://contrelaprecarite.blogspot.com
a82c05bc-14ab-41a3-963e-99821a3a181b,1,0,1,A,,http://transitionquebeccentreville.org
4af7fb6e-864f-4920-ae44-96a825183fbb,3,4,7,F,,http://lacaravanedesespaceslibres.blogspot.com
5de356b3-ddd7-4783-af6a-7c24bf7eef13,1,17,18,A,,http://transition-energetique32.blogspot.com
d51e8f88-9a6f-4de2-bd77-72244dc2cd54,5,12,17,E,,http://liegeentransition.be
03abbfe6-1d94-4a48-b657-a519907b9c01,3,0,3,A,,http://argentdubeurre.com
4ce5a193-8b83-4d5b-8f32-6e3b8502533b,2,1,3,A,,http://sorsdeterre.blogspot.com
bb6bc7e8-afb9-406f-9352-8eeb3d7c7528,6,9,15,A,,http://altereco30.com
111d5d2c-fd8d-4a99-9b63-6133f63c7b43,17,4,21,B,,http://www.acteurspublics.com
1f0831fa-2b94-4ad4-a26f-6222d4ebac02,3,8,11,A,object,http://www.debrouille.com
5482bfc5-70d8-4f01-9236-3e650fb42bac,13,19,32,E,,http://passerellesud.org
6f7590b3-437d-4772-91b6-fadf3ff966e9,3,0,3,A,,https://www.facebook.com/Alternatiba.paysdelorient
af2276ae-a23a-42f2-a6d0-60993dd1fb24,5,9,14,A,,http://transitionparis20.org
4c46d2c4-45f7-4657-ae2f-a9050e9d1fa0,2,4,6,A,,https://arlestransition.wordpress.com
11b25bd3-97bd-4aef-9afc-8f167f317040,3,7,10,A,,http://www.bordeaux-transition.org
d71c7421-f9a7-462f-9bef-61f8f85b3b23,65,13,78,A,eat,http://biocoop.fr
2ad76eab-0b61-40fc-913d-098c05a73d07,2,6,8,A,,http://www.saveursdurables.fr
90eafc85-fd4c-4896-999f-5846b72455fe,6,0,6,A,,http://www.aide-et-action.org
2c56bf1a-862a-4416-9251-3d6a7bf82e81,4,39,43,A,,http://alternatives-economiques-education.fr
e07dffce-b892-471d-86ef-d0e067265f06,0,0,0,NC,,https://www.facebook.com/PeupleDuMondeReveillezVousOnVousMent
9784a9b1-5b0d-4fae-b749-8f6b630c8a07,1,2,3,E,,http://transition-pays-allevard.blogspot.com
56b85ca2-65ba-430b-bd9d-3b39c7423cf4,1,7,8,B,,http://populiste-impenitent.blogspot.com
d29ca51a-588f-4e73-bf37-f55d8e4913eb,2,13,15,B,economy,http://antibanque.blogspot.com
e39a561d-986b-41a7-9db5-e3620ef147b8,2,175,177,A,,http://www.alter-actif.com
371b1780-c7cc-4b65-bb64-94a0fb25ffb1,3,1,4,E,,http://jptransition.org
349096ac-e081-4f3e-9573-ed01f6114d15,4,12,16,C,,http://alternatives34.ouvaton.org
3a71a1ee-a3c9-483d-9d95-a84ca612906b,1,0,1,B,,http://argenteuilblog.fr
8f9895b5-4f37-4550-890b-be62248b638c,29,32,61,B,,http://altermonde-sans-frontiere.com
99f64204-9885-4169-9110-589e084b59e7,21,17,38,A,,http://reseauecoleetnature.org
21a4c3ec-2d9a-4840-8ee8-ebb1b1940c7a,1,2,3,A,,https://orthezbiodiversite.wordpress.com
d2a08866-20a6-4e19-a117-5bfa43d2f962,3,4,7,E,,http://www.crystalpalacetransition.org.uk
fef6d933-1c14-4e4f-99c8-fbc26c32ca43,1,1,2,B,,http://lutopiste.com
60b3065c-adfe-46a2-bdeb-2383eec57576,38,13,51,C,,http://indigenes-republique.fr
bb4b2788-9d2b-41ca-81bb-ca92b512bc0b,4,10,14,B,law home,http://jurislogement.org
5252b56c-3973-4ab7-aa6a-4ca1ffcfcee0,17,10,27,A,,http://agrobio-bretagne.org
242e9eb6-a697-417e-8ced-5b6cbcc4de68,1,0,1,A,,https://www.facebook.com/alternatibanarbonne
191b3ee5-8da2-46b8-8a04-5e796393d6e9,7,20,27,B,,http://convergence-sp.org
714fa95d-99bd-4afa-bbcd-3fde046768af,2,0,2,B,,http://parolesdesansvoix.org
f2c46ea3-f86e-4f2a-b851-4f143013af74,6,3,9,C,act love,http://www.libertederire.net
b9715ae8-7326-4530-9818-80cbfbc37f34,85,97,182,C,,http://www.cip-idf.org
26006ae3-56fe-46fc-a07c-b77b6c60b429,68,8,76,C,text,http://editionslibertalia.com
c9f6ba0f-de33-4fa0-a51a-13ef56077e79,1,1,2,F,,http://espace-public-de-mediation.blogspot.com
0a09786b-d3d4-4007-9caf-34178985755c,21,6,27,C,text,http://editions-libertaires.org
dc3137f9-d015-430b-b64d-46a87c7bcab1,1,0,1,C,,http://leobidois.blogspot.com
ba469020-78b0-4410-8328-1b2fed86fd2d,10,18,28,A,,http://quotidiendurable.com
f0816f28-23ea-4113-a36f-8c8ea59d011f,16,2,18,D,,http://opendatacommons.org
164fb08c-d6e2-4e5f-b62e-41a03bf0c2af,12,6,18,D,,http://www.atelier.net
19e011ff-2148-44e1-a1f5-fe6eb873d683,1,6,7,A,,http://etre-au-monde.fr
f179821f-a803-4ea5-b8d5-70b3c31d32ee,1,1,2,C,,http://lepoingpresselibertaire.org
adf61b0b-8158-47ba-acd6-00c2d8713468,3,0,3,A,off economy,http://aidonslargent.org
59d77e44-9f01-423e-a240-63980c8b552c,8,28,36,A,,https://rambouilletentransition.wordpress.com
4b4de7e6-4957-4b75-9223-910cb296c027,2,4,6,E,,http://postcarboncities.net
4033f16d-53ed-498d-a14b-49fd4bc3f0e6,0,0,0,NC,,http://www.wikiconstructiondurable.fr
310bfb33-7353-4e2e-96f3-98836ef4f616,3,0,3,A,,http://alternatiba-nancy.fr
75f6f6a4-ae73-440f-a794-9317264bbe42,30,29,59,C,,http://entremonde.net
fe3a5f99-9fca-4c1e-8809-490b87aaa2a6,8,2,10,D,politics,http://onthecommons.org
a93dd8c3-1ae7-470d-950a-48b3b2d96bea,1,25,26,A,,http://salontransition.fr
b0cc9208-68ff-49ab-823c-3771241d0cbe,3,29,32,A,,http://jaimelabio.fr
377c5b57-7f09-4732-90b3-9edcdc8bfb5e,12,17,29,C,,http://alterinfos.org
8730c63b-ab00-4653-904f-56beda48eaef,4,9,13,D,space,http://alternativesurbaines.ch
9a1e81b4-4b2b-4ac6-8894-90c80fbb3a85,2,0,2,A,,http://consomacteurs.com
cd555c22-9fad-4aa8-be3c-0cac69b28782,41,103,144,C,,http://juralibertaire.over-blog.com
86a25436-c9a0-4e0c-8ca7-43f47670a451,4,1,5,D,,http://alternativaseconomicas.coop
ec5bf701-1421-4cdc-8438-77d7b6152539,9,3,12,A,ngo,http://actionaid.org
cacbff97-2be3-467d-9c24-860d3dfcdc46,3,8,11,A,,http://transitionaupays.eu
dde95b8c-ad3c-420a-9389-fa2528227d89,21,10,31,A,education group,http://lespetitsdebrouillards.org
34d77c47-5d64-4d34-970f-0518f115d072,2,0,2,E,,http://oneyearintransition.org
ccfe7887-bc7d-4b28-94c0-72d5ef4be11f,56,50,106,A,,http://bioconsomacteurs.org
369343c2-05c1-450f-a9a3-cb0f11b51d03,15,0,15,A,,http://policyalternatives.ca
66428ba5-5916-4912-8555-07c50268e1f7,4,155,159,E,,http://ploutopia.over-blog.com
6d45d861-c113-417a-8e87-20e386d618cf,18,20,38,A,,http://www.repasbio.org
d67cff6a-9a8f-44ea-90da-787e6475c892,13,5,18,E,,http://convergenceenergetique.org
75bc0b7b-e86d-475b-a507-9562b3936684,4,43,47,A,,http://auteriveentransition.blogspot.com
00fceca9-874c-4a68-b6f2-408a3d59c2a6,2,0,2,D,,http://pointderassemblement.blogspot.com
7f502ce4-f154-4270-b8ac-12b9bca8b1e0,2,5,7,C,,http://libertaria.it
b4443b64-ca75-4433-8b93-71d472d6582d,1,0,1,A,,http://kiwisflambeurs.blogspot.com
6993e77b-3a2a-4e3a-9b6a-bb3442c5eff2,37,18,55,A,,http://bio-dynamie.org
531f16c3-dcaf-4d6d-8982-65822f682a70,55,121,176,C,media text words,http://jefklak.org
e042a0ca-87ca-4f23-9bf2-fbb57fcab976,5,55,60,B,,http://conscience-sociale.blogspot.com
bddf39cb-1008-4438-b083-88c79f397916,2,3,5,A,,http://transition-villeurbanne.fr
c7c9127f-0ba9-43cf-8f94-4940c2deb8f7,4,1,5,A,,http://atelierdecosolidaire.com
093e30a8-f7d4-4b39-ba98-59d78554a87a,20,26,46,A,,https://quartiersentransition.wordpress.com
2e6caa38-13d5-42a7-9d71-a54a571431b6,1,9,10,A,,https://ceretentransition.wordpress.com
257f548b-5e57-4593-a4a1-d2b504b78014,2,3,5,A,,http://orleansentransition.net
ec7f3fb0-2d49-4fb5-be1f-cc1657cbc758,3,9,12,C,,http://collectifconvergence.blogspot.com
c936b7ca-4689-4c01-9c7f-c20d211a5401,0,10,10,B,,http://broderpourlapaix.blogspot.com
3a6b04d2-b445-4e69-a233-469cb2e7f916,1,1,2,D,,http://collective-action.info
2d749c5f-7b5c-4448-ad61-09196246b15e,1,0,1,B,,https://www.facebook.com/lutopiemalgretout
53d658b8-8921-4a49-8675-8a067571877f,0,0,0,NC,,https://www.facebook.com/ParklarBizim
d198ea5d-4624-4093-a38a-68a95279e008,49,20,69,B,,http://alterinfo.net
1b1a430b-0617-4f0d-aa9f-2bce1e2d21fd,67,37,104,A,,http://www.artisansdumonde.org
79d6c1db-a733-44d6-b763-3c06f601f3b1,39,42,81,B,media work zad,http://terrainsdeluttes.ouvaton.org
796d6ab0-4e6c-4131-aba4-74cc8026a0b4,0,14,14,B,,http://electrospaces.blogspot.com
511cb6a3-a18a-436d-9df3-cdc3fcf88cfa,7,52,59,A,,http://epinal-en-transition.fr
690dc4a5-d6cf-4157-9dae-d1291bcc76e4,2,14,16,A,,https://batirdesalternatives.wordpress.com
88709204-95bd-4eaa-9996-981a588c84de,30,63,93,A,group,http://www.mouvementutopia.org
5c9b2544-7f5c-4d6d-9b07-e8e789ceed83,15,43,58,C,,http://anarlivres.free.fr
4991fd46-ab52-410b-95f2-0cac15e87dc6,1,10,11,C,,http://collectifavs75.blogspot.com
ab566a29-e701-4c33-a0a9-57916a7a1b7d,2,30,32,B,,http://alexisboudaud.blogspot.com
406c4737-e64d-4506-96f8-2baeb3e4a3f6,55,6,61,C,map text words,http://www.librairie-quilombo.org
f2678ccc-6869-45b2-b5c0-63eec0bd16c9,3,1,4,A,media,http://www.courantalternatif.com
abe12dc6-05b8-4dc5-aaca-bb208ae416d3,7,3,10,B,economy,http://www.comprendrelargent.net
c3a5f6da-074c-454b-9ca2-80a76bdf53c0,11,162,173,C,,http://www.medialternative.fr
7da79299-b2bb-45fd-b815-8792d34d333b,4,41,45,A,,http://transitioncitoyennesemnoz.org
c11f4be8-809b-46ce-83a3-a84de96b4ed3,10,2,12,C,,http://journalhorsservice.blogspot.com
ea3a8564-6a60-4db5-9b12-ff0570fd0570,0,1,1,D,,http://rosnypotagers.blogspot.com
04af2300-fb71-4267-a4fd-17a6c2e74d92,34,80,114,A,,http://acteursduparisdurable.fr
57b7274b-37f5-4fd8-9791-6a71541da02a,67,68,135,A,agriculture,http://semencespaysannes.org
733aebfd-f538-45b4-a320-74d656a5ac74,4,43,47,A,,http://transitionparisidf.fr
32b0e852-de64-4652-b7fa-c0c56d81c820,4,6,10,A,,http://fondation-ekibio.com
f12eac99-c29b-4c0a-8ed1-249b14ffdc37,1,1,2,D,,http://developpementdurablerosny93.com
a5bea91e-bde6-45f8-9299-2be0e237c3f8,103,81,184,C,,http://alternativelibertaire.org
02545605-2629-4fc3-b255-37ace7abb67b,12,6,18,A,text,http://editionsalternatives.com
65e605ca-df3f-4b47-b733-d93d5d802d4c,1,0,1,C,,http://danslecieltoutvabien.blogspot.com
35d94d29-30b7-4a81-be2f-c7888e634215,14,0,14,A,,http://alter-echos.org
87cac2ff-747d-4380-b93b-189502761b9d,94,123,217,A,web tool,http://cyberacteurs.org
0e624ae2-b078-45a9-a2ff-adfa88e7bfb8,8,34,42,A,,http://www.salonbioeco.com
17b4df4a-be33-4f1b-9317-e7819d13921b,20,15,35,E,earth economy energy,http://www.postcarbon.org
d54d76b8-daae-4359-b7e9-f063ec32e1b2,4,77,81,B,,http://lesaventuresdeuterpe.blogspot.com
35bad630-376c-41f4-b058-4665f5102349,20,26,46,C,group,http://crimethinc.com
9e173cfb-f156-4e53-806f-05ed96f89c2d,4,36,40,C,,http://contrecapital.blogspot.com
8211723e-ad5c-4cec-97a2-64d2d6bec5d9,0,0,0,NC,,https://www.facebook.com/SemurEnTransition
7755faa5-01da-4bba-91e6-e5ea0d71096e,7,10,17,A,,http://salon-naturabio.com
b9f5a53b-43d0-4495-8b8f-2d8c62b310bb,5,10,15,A,,http://jeveuxmonbacbio.org
c61018e9-bef4-4a3c-af43-6ed97542c76e,1,0,1,D,,http://biodegrad.com
16194cd9-ae62-4502-b373-c4e20be4216f,2,2,4,B,,http://survivreauchaos.blogspot.com
c5527d9c-6bc0-4f71-a07f-0bfcf20efb22,1,1,2,A,video,https://www.youtube.com/user/MlleMondialisation
41d2a7a5-ddf8-44e1-b48c-6c584ee0a77d,35,4,39,E,,http://transitionculture.org
58d602a7-96c4-4538-a655-1f73d0a0dc9a,41,0,41,C,audio,http://radio-libertaire.org
c56ecd60-911c-4d80-bdbf-a8105064f506,4,5,9,A,,http://nouvelle-nature.fr
ea40172c-0a83-4f52-83fa-31a6c6c4a490,24,3,27,B,group,http://le-message.org
