name,address,lat,lng,scale,contact,web,description,source,tags
sel'alternative,"les bois de la justice, 28410 Bû",48.81189,1.50006,,selaternative@gmail.com,http://selalternative.communityforge.net/,"permettre aux associations alternatives de mutualiser leurs moyens humains et matériels, leur permettre de communiquer entre elles et leur donner de la visibilité",misc,work economy up1606
Les Jardins du Plateau Picard,"1 bis rue du Tour de Ville, Argenlieu, 60130 Avrechy",49.452388,2.4444475,,jardinspp@wanadoo.fr,http://www.lesjardinsduplateaupicard.fr/,"Les Jardins du Plateau Picard proposent à des personnes fragilisées par l’absence d’emploi une situation de travail par la pratique d’un maraîchage respectueux de l’environnement, afin de favoriser leur retour à l’emploi. Chaque semaine, la production est distribuée équitablement à l’ensemble des adhérents sous la forme de paniers légumes dont le contenu correspond à la consommation moyenne d’une semaine pour 2, 4, 6 personnes et plus suivant les choix des adhérents.",misc,agriculture eat work up1606
La JUNCHA,"Le Moulin du Serre, 05260 Saint Léger les Mélèzes",44.39179,6.12055,,coordination.lajuncha@gmail.com,http://www.lajuncha.fr,"L’activité de l’association est de gérer une épicerie proposant des produits Bio et locaux et d’animer un café, en suivant les orientations de ses statuts : animer un lieu transgénérationnel, interassociatif et d'animation culturelle ; maintenir et  promouvoir une agriculture de proximité, écologiquement saine, socialement équitable et économiquement viable ; développer des relations privilégiées entre consommateurs et producteurs.",misc,agriculture eat creation up1606
Filière Paysanne,"51 Bd Chave, 13005 Marseille",43.2953697,5.3880597,,filiere.paysanne@gmail.com,http://filiere-paysanne.blogspot.fr/,"Filière Paysanne est une association indépendante qui agit pour une agriculture et une alimentation locale. Depuis 2009, Filière Paysanne accompagne la création d'épiceries paysannes contribuant au développement des circuits courts et à une distribution équitable et écoresponsable, respectueuse du paiement juste du travail des paysans et de la transparence des filières. Filière Paysanne a participé à la création et à la pérennisation d'une Plate-Forme Paysanne locale. L'association milite au niveau national pour la préservation des terres agricoles, et propose au niveau régional des politiques alimentaires territoriales.",misc,agriculture eat up1606
Laboratoire d'Aix-Périmentation et de Bidouille,413 Avenue Gaston Berger 13100 Aix-en-Provence,43.51373,5.45097,,contact@labaixbidouille.com,http://labaixbidouille.com/fablab/,"Le L.A.B (Laboratoire d’Aix-périmentation et de Bidouille) a pour objectif de favoriser l’émergence d’un espace collaboratif et communautaire d’échange technologique à Aix-en-Provence. Collaboration, Expérimentation, Fabrication, Développement et Programmation, Formation et Échanges sont autant de mots qui définissent notre projet à haute teneur humaine et technologique. La vocation de cet espace est de devenir le premier Fab Lab en pays d’Aix, ouvert au public et respectant la charte du MIT.  Le Fab Lab d’Aix est  actuellement hébergé par le site Gaston Berger de l’IUT d’Aix-Marseille. Dans le cadre du projet Fab Lab provence, le CEEI Provence, acteur de l’innovation en Paca, s’associe au L.A.B, à Design the Future Now et à la Communauté du Pays d’Aix pour initier la création d’un Fab Lab rayonnant sur la Provence dont l’ancrage principal sera situé  au centre-ville d’Aix-en-Provence.  Vous pouvez nous retrouver tous les avant derniers vendredi du mois à partir de 19h pour nos soirées Geek Bidouille.  Rejoignez nous !  Que vous soyez industriel, start-uper, chercheur, étudiant, enseignant, artiste, particulier, passionné ou tout simplement curieux, si vous êtes intéressé par la fabrication personnelle, le développement logiciel, la réalisation et la mise au point de prototypes, les logiciels libres, l’open hardware, le DIY, la bidouille (Hacking), nous avons besoin de vous pour nous aider à faire vivre et prospérer cette nouvelle communauté ouverte de Makers Aixois.",misc,science web object energy up1606
Atelier de co-réparation de Nantes,Nantes,47.2253142,-1.679419,city,atelier.coreparation.nantes@gmail.com,https://www.facebook.com/AtelierDeCoReparationDeNantes/,"Rencontre ouverte à toutes et tous, entre bricoleurs.reuses expert.e.s ou amateurs.trices, bidouilleurs.reuses et toute personne souhaitant apprendre à réparer soi-même ses objets.",misc,object up1606
Le LAC,"82a rue Ulens, Bruxelles",50.8626539,4.3404527,,lemaildulac@gmail.com,https://www.facebook.com/Le-Lac-1516123585267493/,centre culturel alternatif et lieu d'inovation des paradigmes socio-professionels.,misc,creation up1606
Une petite marche pour une grande démarche,"1 Route de la Faisanderie, 77300 Fontainebleau",48.405328,2.67759,,unepetitemarche@gmail.com,http://unepetitemarche.jimdo.com,"Le rôle des membres de ce groupe facebook est de se retrouver une fois par mois pour ramasser les déchets en Forêt de Fontainebleau (77) ou ailleurs. Ils et elles ne sont ni auto-entrepreneur-e-s, ni associé-e-s, ni syndicalisé-e-s, simplement de simples citoyen-ne-s amoureux-ses de leur région.",misc,earth up1606
L'ADREY DE LONSEMARD,73110 La Table,45.484209,6.176992,En Savoie près de La Rochette,sylvain.rochex@gmail.com,http://www.descolarisation.org,Lieu de permaculture à 900 mètres d'altitude dans cadre sauvage,misc,agriculture up1604
CICP - Centre International de Culture Populaire,"21 Rue Voltaire, 75011 Paris, France",48.8527175,2.3916564,,,http://www.cicp21ter.org/,"Le Centre international de culture populaire, anciennement situé rue de Nanteuil à Paris, est né en 1976 d’une volonté politique de mettre des moyens matériels et humains à la disposition d’associations soutenant des luttes de libération nationale, défendant les Droits de l’homme, solidaires avec les travailleurs immigrés, pour faciliter leur travail et développer la solidarité",misc,up1604
Comune libre d'Aligre,"3 Rue d'Aligre, 75012 Paris, France",48.8479504,2.3771807,,,http://cl-aligre.org,"Cette association a pour buts : l’animation sociale, culturelle et sportive du Quartier d’Aligre, la défense de son environnement et de son cadre de vie, la promotion de l’entraide et de la solidarité entre ses habitants",misc,up1604
La Récupérathèque,"ENSBA, Lyon",45.76786,4.8148403,,,http://recuperatheque.wix.com,Une association d’étudiants qui met en place un écosystème de matériaux de réemploi.,misc,up1604
COOPAPARIS,59 rue Stephenson 75018 Paris,48.8899063,2.3557088,Paris,coopaparis@laposte.net,http://www.coopaparis.fr,Coopaparis est une aventure de consommateurs citoyens. Leur désir : accéder à de bons produits à un prix raisonnable tout en soutenant une agriculture respectueuse de l’environnement,misc,up1604
Vélo Utile,29 rue du Légué 22000 Saint Brieuc,48.520196,-2.763652,Aglomération de Saint Brieuc,contact@velo-utile.fr,http://www.velo-utile.fr,Atelier d'autoréparation de vélos. Vélo Utile a également un rôle de réprésentation des usagers de bicyclette sur l'aglomération et d'animations autour de l'usage quotidien du vélo.,misc,move up1604
Mas des Tours,Les tours  12140 Florentin la capelle,44.635725,2.608404,Nord Aveyron,mas.des.tours@gmail.com,http://www.masdestours.com/,"Notre désir est de redonner vie à ce petit hameau niché à 550 mètre, à mis chemin entre Entraygue-La-Truyere et Florentin la capelle, pour ce faire nous souhaitons mettre en place diverses activité visant à redinamiser le hameau. Les pistes explorées sont :  - L'implentation de 6 Tentes Lodges Pour les vacanciers qui aspirent au calme et à un écrin de nature, une série de tentes lodge aménagées seront à louer pendant la saison estivale.  - La mise en place d'une exploitation maraichaire en agriculture biologique. Grâce à la permaculture, un potager bio nous permet de cultiver sainement nos légumes un vergé, quelques abeilles, des fleurs, tout un écosystème qui n'a besoin ni de pesticide, ni d’engrais pour nous régaler. - L'aménagement d'un gite pouvant accueillir des groupes de Voltaires Le hameau étant livré à lui même depuis quelques années, nous aurons bien besoin de bras pour retrouver sa splendeur, afin de loger les volontaires qui souhaiterons nous épauler dans ce projet, une grange sera aménagée en gîte confortable.",misc,agriculture up1604
Récoltes locales,"Soleilhavoup, 19460 NAVES",45.33686400000001,1.7491979999999785,Limousin,contact@recolteslocales.fr,http://www.facebook.com/lesrecolteslocales/,"Magasin regroupant uniquement des produits locaux, issues de petites exploitations agricoles respectueuses de l'environnement ou certifiées bio.",misc,up1604
Local de la JC42,3 rue Brossard 42000 Saint-Etienne,45.4404817,4.3874288,,,http://www.jeunes-communistes-42.org,"       Nous sommes une section créée avec une poignée de militants au cours du mouvement anti-CPE. En nous organisant, nous aurons réussi à vite couvrir totalement la Loire et nous sommes comptés aujourd’ hui comme la plus grosse organisation politique de jeunes du département.  Statutairement indépen- dants de tout parti, nous fonctionnons de manière autonome et nous sommes auto-financés.   Nous privilégions la lutte sur le terrain, au plus près de la vie de chacun, dans les lycées, à l’université, sur les lieux de travail. Ainsi nous sommes organisés en trois secteurs, les Jeunes Com- munistes Lycéens (JCL), l'Union des Étudiants Com- munistes (UEC) et les Jeunes Travailleurs Com- munistes (JTC).  Nous avons réussi, au fil des années, à créer un réseau important de partenaires, sur diverses thématiques s'enveloppant dans une lutte plus globale contre le capitalisme.  Nous œuvrons pour la justice sociale, pour un monde de paix, de solidarité et de coopération. Notre lutte est celle qui consiste à placer l’homme au dessus des mécanismes du marché.",misc,up1604
C'est déjà ça,"17 rue Chef de Ville, 77730 SAACY-SUR-MARNE",48.9616293,3.207612,,,http://www.cestdejaca.fr,café librairie et espace culturel et artistique,misc,up1604
Café de la Pente,56220 Rochefort en Terre,47.6982911,-2.3500663,,,http://www.lepotcommun.com,"Le café de la pente est ouvert du jeudi au dimanche, à partir de 18h !",misc,up1604
Ferme collective de la Tournerie,"La Tournerie, 87500 Coussac Bonneval",45.5570942,1.2725114,,,http://www.fermecollectivedelatournerie.com,,misc,up1604
Habitat groupé en yourte,1229 chemin du rû migaille 88240 les voivres,48.0328611,6.2779502,,yourtes.vovires@laposte.net,http://www.yourtesvoivres.wix.com/yourtes,"habitat groupé en yourte regroupant 2 foyers et un atelier. Possibilité de faire du wwoofing, helpx, des chantiers participatif. Certains fabriquent des yourtes, d'autres jardinent,... Nous faisons un jardin inspiré de la permaculture et de la biodynamie. ",misc,up1604
La Maison d'Ernestine,Concoret,48.06748,-2.2009,,maison_ernestine@riseup.net,http://www.maisonernestine.fr,"une maison d'activités ouverte à tous, un lieu convivial de rencontres et d'échanges autour d'un bar associatif",misc,up1604
Les Hangards Hagards,Concoret,48.06751,-2.20095,,,http://www.franceculture.fr/emissions/terre-terre/alternatives-en-bretagne-les-hangars-hagards-concoret,,misc,up1604
Collectif NOOM,Campénéac (56),47.9607167,-2.3489854,,,https://www.facebook.com/Collectif-NOOM-1531812393744359,,misc,up1604
Le Champ Commun,56800 AUGAN,47.9108417,-2.3422829,,,http://www.lechampcommun.fr/,"la radio locale associative TimbreFM, une épicerie, une micro-brasserie et un bar, association Localidées",misc,audio up1604
La Fiest'Abeilles,"Vaux-Sous-Aubigny, Champagne-Ardenne, France",47.6495056,5.2375816,,,https://www.facebook.com/events/196765010673406/,,misc,up1604
La Cantoche,"204 rue Jean-Jaurès, Brest",48.3992994,-4.475254,,,http://www.lacantochebrest.com/ — http://www.cotebrest.fr/2016/03/08/la-cantoche-ouvrira-lundi-14-mars/,cantine associative solidaire,misc,eat up1604
"Bruxelles, mode d'emploi","Bruxelles, Belgique",50.8640561,4.2940205,city,,http://maps.dewey.be/ - http://dewey.be/,"« Bruxelles mode d’emploi » est une carte de la région bruxelloise qui dresse l’inventaire de nos ressources partagées. Par cela, on entend : les ressources qui revêtent un caractère non-propriétaire, de libre accès, de don, de mise en partage. Concrètement, les points de la carte renvoient à des lieux liés au partage de ressources aussi diverses que l’habitat, les denrées alimentaires, les biens de première nécessité, les moyens de transports, les outils de travail et les éléments de patrimoine naturel",misc,list map up1604
Initiatives de transition en Wallonie et à Bruxelles,Belgique,50.8137563,3.9822835,region,,http://www.reseautransition.be/les-initiatives/,,misc,list map up1604
"Circuits courts: consommer, produire et épargner autrement",Belgique,50.8102854,4.1855306,region,,http://www.circuits-courts.be/,"alternatives de consommation, d'épargne et de production locales, équitables,  durables, saines, et transparentes",misc,list map up1604
Festival La Voie est Libre,"Autoroute A186, Montreuil",48.8700556,2.4508946,,lavoieestlibre.copil@gmail.com,http://www.lavoieestlibre.org/,"Eco-festival citoyen sans pétrole ni nucléaire sur l'autoroute ! Créée par un collectif citoyen en 2009, La Voie est Libre rassemble plus de 35 000 promeneurs, 300 artistes, 100 associations, 500 bénévoles sur 2km d'autoroute.",misc,list space creation up1604
Association On loge à pied,"3, les cabanes, 79150 Argenton-les-Vallées",46.9820116,-0.4993479,,,http://www.onlogeapied.fr/,,misc,group up1604
Siam Amap'orte,"Patronage laïque Sanquer, 26 Rue Choquet de Lindu, Brest",48.3912641,-4.4757278,,,http://siamamaporte.canalblog.com/,"Association pour le maintien d'une agriculture paysanne, active depuis 2010. Abonnement aux paniers de légumes bio, aide à la maraîchère, rendez-vous conviviaux, c'est tous les jeudis soir au patronage laïque Sanquer !",misc,agriculture eat up1604
Association A l'art libre,"36 rue de la Libération, 49420 POUANCE",47.74045,-1.177908,,alartlibre@gmail.com,http://alartlibre.wix.com/alartrue,Association d'agitation sociocultulaire en milieu rural visant à valoriser et dynamiser la campagne Haute-angevine par le biais de l'art.,misc,group up1604
Le Mantois en Transition,Mantes-la-Jolie,48.9920934,1.6654478,,,http://transitionmantes.fr/,,misc,group up1604
Ferme écologique de Sajabicu,Penta di Casinca 20213,42.4575156,9.4537611,,pierreandre.cancel@yahoo.fr,,Journées thématiques autour de l'écologie,misc,up1604
oasis lou garoun,26570 reilhanette,44.1750622,5.373468,,lamatiao,,,misc,up1604
Ferme Associative de La Clotière,"Rue de la Clotière, 35235 THORIGNE-FOUILLARD",48.1498101,-1.584605799999963,,lafermeanimation@gmail.com,http://ferme-animation.e-monsite.com,"Ferme pédagogique associative ayant pour but de garder le lien avec la nature et les animaux dans la périphérie rennaise. Panier bio, poules urbaines, potager...",misc,agriculture eat up1604
La Ruche Qui Dit Oui de Chamalières ,"6 rue Amélie Murat, 63400 CHAMALIERES",45.777036,3.067421,,contact@equiterre.org,http://equiterre.eu/equiterre-ouvre-une-ruche-qui-dit-oui-a-clermont-ferrand/,"C'est un circuit court, vous pouvez achetez vos fruits, legumes, viandes, produits laitieres chez les producteurs locaux (moins de 100 km) qui ont des démarches responsables. Vous commandez en ligne et votre commande est distribué au Cook Up café chaque lundi de 17 h à 18h30",misc,agriculture eat up1604
Le Château Partagé,"Le Guicherd, 73610 DULLIN",45.5541111,5.7624224,,contact@lechateaupartage.fr,http://www.lechateaupartage.fr,"habitat groupé de 6 familles avec activités d'acceuil de groupes, maraîchage, boulangerie, autres.",misc,agriculture eat up1604
Groupe local Colibris 24 Bergerac,Bergerac,44.85,0.48333,,bergerac@colibris-lemouvement.org,https://www.facebook.com/profile.php?id=100011383883144,"Colibris, groupe local de Bergerac",misc,group up1604
La liberterre,"12, allée de Bourgville 86420 Monts sur Guesnes",46.91588,0.21244,,francoiscollet@openmailbox.org,,"Ferme bio autogérée sur 15 ha. Production de légumes et pâtes. Deux familles en route vers l'autonomie alimentaire, énergétique ET politique... jusqu'à la commune libre ? Chambre double dispo pour passer nous voir sur demande préalable. ",misc,agriculture eat energy up1604
Atelier du soleil et du vent,"57 avenue de poitiers, 86600 lusignan",46.4439591,0.1312422,,contact@atelierdusoleiletduvent.org,http://www.atelierdusoleiletduvent.org,"L'Oasis de Serendip est un lieu associant production vivrière en permaculture, éducation bienveillante, tourisme responsable et habitat participatif dans la vallée de la Drôme.",misc,agriculture home up1604
Limosin Manon,ZA Penn Ar Roz 29150 Châteaulin,48.208505,-4.060141,,manon.limosin.naturopathie@gmail.com,http://www.manon-limosin.com,association de formation et d'accompagnement à l'autoconstruction et à l'autorénovation énergétique,misc,home energy up1604
Les petites aubuges,"les petites aubuges, 79120 Ste Soline",46.2256151,0.0235584,,lespetitesaubuges@gmail.com,,Pratiques alternatives de santé - Naturopathie,misc,up1604
Ferme les demains dans la terre,Le Pin 44320 Chauvé,47.159831,-2.003225,,lesdemainsdanslaterre@gmail.com,,"Ferme pédagogique en permaculture avec production de légumes, de petits fruits et d'autres ateliers",misc,agriculture eat up1604
Café-Cantine du Commerce,"24, Place du Marché - 86160 Gençay",46.373409,0.40425,,cafecantine@free.Fr,https://www.facebook.com/cafecantinegencay/,"Le Café-Cantine \c un café culturel ouvert sur le monde et le partage, produits bios et locaux, cafés suspendus, concerts, ateliers, rencontres...",misc,creation eat up1604
GiveBox Fontenay,Fontenay-le-Comte,46.4668,-0.8077,,,,e,misc,up1604
Association Au Comptoir du Chinabulle,47 Rue du Château du Roi - 81600 Gaillac,43.8973,1.89782,,aucomptoirduchinabulle@gmail.com,http://www.chinabulle.org,"Le Chinabulle vous accueille dans son espace associatif et vous propose ses services \c Brocante, Friperie, Soirées à thème, Débats, Accès wifi, Laverie...",misc,object up1604
La Fabrique - Era Habrica,Vilatge 65370 Sainte-Marie,42.9724,0.6207,,fabrique@pyraelog.com,http://fabrique.pyraelog.com — http://erahabrica.blogspot.fr,"La fabrique - Era habrica, c'est rassembler un maximum d'habitants de Barousse, Frontignes et au-delà, en touchant les centres d'intérêts les plus divers \c un projet collectif à partir des motivations propres à chacun.\n\nC'est aussi l'idée d'un lieu tout à la fois café-pressoir-grignoterie-spectacles, ateliers de fabrication et de recyclage, espace de travail partagé, coopérative d'activité et d'emploi. Un lieu de ressource pour tous, particuliers comme professionnels. ",misc,up1604
Association Lay t'motiv',6 Rue du Point du jour 42470 Lay,45.9562583,4.2178026,,laytmotiv.barasso@gmail.com,https://www.facebook.com/laytmotiv.barasso,"Café Culturel Associatif Circuits courts de consommation, animation locale",misc,up1604
Le Sentier,Secret Knight 61700 CHAMPSECRET,48.6091389,-0.5514444444444445,,lesentier@protonmail.com,http://www.lesentier.org,"Secret Knight - Vieux pub anglais - Zone d'autonomie temporaire à destination du Mont-Saint-Michel - Marche de 4 jours vers l'autonomie et le mystère - Survie douce, alchimie, légendes, quête du Graal, philosophie, musique et art. Bières artisanales et bio. Concerts, librairie, jeux de société et jeux de rôle",misc,up1604
Lieu de vie autonome du Mont Gardin,49 chemin du Mont Gardin 62340 BOUQUEHAULT,50.813411,1.902027,pas-de-calais,jean-marc.demiautte@orange.fr,https://www.facebook.com/Lieu-de-vie-autonome-du-Mont-Gardin-373375919480680/?ref=aymt_homepage_panel,"lieu de vie autonome en energie, en eau, alimentation",misc,up1604
AMAP de Roanne,Centre Social du Moulin à Vent 42300 Roanne,46.025327,4.053309,Loire,christine.bassot@wanadoo.fr,https://www.facebook.com/amapderoanne/info/?tab=page_info, Association pour le Maintien d'une Agriculture Paysanne.,misc,up1604
Atelier AroCosmeto,70500 Cemboing,47.503,51.25,Haute-Saône,07.84.27.79.83,,Atelier d'aromathérapie et de biocosmétiques. Partage de savoir-faire. Les participants financent leur matériel +10 € la séance pour l'animatrice. ,misc,up1604
LieU'topie,"22 Rue Abbé Girard, 63000 Clermont-Ferrand",45.7763823,3.0849073,,06 82 94 52 73,http://www.lieutopie.org/site/bienvenue-sur-lieutopie/ — https://www.facebook.com/LieUtopie-341164159315748/?fref=ts,Association étudiante culturelle et solidaire. Viens co-kiffer avec nous !,misc,group up1604
Collectif du Chaudron à 1000 Pattes,"71 boulevard aristide briand, bp 126 85000 la roche sur yon",46.670795,-1.431682,,lechaudrona1000pattes@gmail.com,https://www.facebook.com/lechaudronamillepattes/,Collectif de citoyens et d'associaions pour un lieu associatif et solidaire à la roche sur yon.,misc,creation subsist group up1604
ClicAlter,01600 Reyrieux,45.9367841,4.7964156,,clicalter@netc.fr,,"Collectif de citoyens proposant des projets alternatifs de type Incroyables comestibles, jardins partagés, monnaie locale, Service d'échanges local",misc,economy up1604
Collectif anti tafta 55,"33 avenue de la 42e division, 55100 verdun",49.1627547,5.3897116,,,,réunion anti tafta dans les locaux du collectif ATTAC Verdun tous les premiers lundis du mois à 18h30,misc,up1604
Café repair l'escargotier,Verdun,49.16,5.38,,amg55@free.fr,,"café repair des AMG tous les troisièmes mercredis du mois, discussion sur un thème politique ou social choisi la fois précédente, autours d'une bière ou d'une tisane selon l'envie",misc,object up1604
le potager des castors,Pays de Faverges / Bassin annécien,45.7301069,6.2681404,,lepotagerdescastors@ntymail.com,,"Créer un lieu d’échanges et de saines pratiques respectueuses du vivant. Vivre et faire ensemble, produire sain, échanger, former, transmettre en gouvernance partagée et bienveillante!",misc,agriculture up1604
