name,address,lat,lng,scale,contact,web,description,source,tags
La Maison de Parents en Bourgogne,,47.3204,5.0807,,,,Lieu d'accueil et d'hébergement des familles et proches de personnes hospitalisées- http://mdp21.fr/,hetero,src-lieux #icon-503-FF8277
La Cambuse,,48.2501,-1.8252,,,,"Café associatif, espace de rencontre intergénérationnel, interculturel et inter-associatif, animations socio-culturelles et pédagogiques - www.assolacambuse.org",hetero,src-lieux #icon-503-FF8277
Nature Créative/la Grange de Laveau,,47.3323,0.189,,,,"Eco-site, hébergement en yourte et en tipi, grange associative, éducation à l'environnement, partage de savoirs en éco-construction, herboristerie et conserverie- http://lagrangedelaveau.wordpress.com/",hetero,src-lieux #icon-503-FF8277
Le Guidoline,,49.4382,1.0988,,,,"Café culturel associatif, atelier vélo, animations diverses autour de l'écomobilité et de l'économie solidaire- www.guidoline.com/",hetero,src-lieux #icon-503-FF8277
Le Clos Romain,,43.5785,3.3638,,,,Ferme en agro-écologie (olives et huiles) et gîtes écologiques - http://closromain.fr/,hetero,src-lieux #icon-503-FF8277
La Berlue,,44.3231,3.5942,,,,Librairie indépendante-http://librairielaberlue.tumblr.com/,hetero,src-lieux #icon-503-FF8277
La Chèvrerie des Felges,,44.2705,3.7595,,,,"Hébergement éco-touristique (yourtes), élevage caprin et transformation fromagères-www.yourtes-cevennes-cevennes-gorgesdutarn.fr/",hetero,src-lieux #icon-503-FF8277
Ferme des Natalys,,43.3413,3.4853,,,,"Ferme en agriculture biodynamique, maraîchage, arboriculture, plantes médicinales, volailles, animations pédagogiques, boulangeries, boulangerie (en projet)- http://www.lesnatalys.fr/",hetero,src-lieux #icon-503-FF8277
L'Atelier 23,,45.8412,1.911,,,http://latelier23.free.fr/,"Bar, restaurant, épicerie (produits locaux et issus du commerce équitable), animations socio-culturelles",hetero,src-lieux #icon-503-FF8277 up1601
La petite Fabrique,,45.4248,1.563,,,,"Café culturel associatif, animations socio-culturelles, échanges de savoirs, paniers paysans et dépôts-vente de produits locaux, artisanaux et issus du commerce équitable-http://fabriquesolidaire.wifeo.com/",hetero,src-lieux #icon-503-FF8277
A.P.P (Atelier Pédagogique Personnalisé),,45.4248,1.563,,,,-,hetero,src-lieux #icon-503-FF8277
Constance Social Club,,45.7494,1.9359,,,,"Centre social en milieu rural en devenir, café culturel associatif, espace de création, d'expression et d'échange",hetero,src-lieux #icon-503-FF8277
Le Caf'Art,,47.2845,-1.2557,,,,"Café culturel, épicerie de produits bio et locaux, bouquinerie, cédéthèque- www.le-caf-art.com/",hetero,src-lieux #icon-503-FF8277
La Maison des Littératures,,47.2593,-0.0747,,,,"Librairie indépendante, poésie et littérature contemporaine, résidence d'artistes, interventions en milieu scolaire et dans l'espace public- http://lamaisondeslitteratures.blogspot.fr/",hetero,src-lieux #icon-503-FF8277
L'Equipage,,47.1437,-1.6934,,,,Café-Librairie associatif- http://lequipage.jimdo.com/,hetero,src-lieux #icon-503-FF8277
Le Café Citoyen,,50.6326,3.0631,,,,"Café restaurant coopératif, lieu de rencontres, de débats et d'échanges- www.cafecitoyen.org",hetero,src-lieux #icon-503-FF8277
Epicerie La Moutièrette,,46.9544,-0.3911,,,,"Epicerie associative, produits locaux et issus de l'agriculture biologique-http://www.leguideduflaneur.com/pages/deux-sevres-79/balade-a-thouars/epicerie-de-moutiers-sous-argenton.html",hetero,src-lieux #icon-503-FF8277
Le Loubatas,,43.6481,5.5832,,,,"Ecogîte Provençal insolite, d'éducation à l'environnement (séjours éducatifs et de loisirs, formations, animations, etc...)www.loubatas.org/",hetero,src-lieux #icon-503-FF8277
Le point de lumière,,44.0561,5.0481,,,,Café alternatif citoyen-www.lepointdelumiere.com/,hetero,src-lieux #icon-503-FF8277
"Le 3C, café culturel Citoyen",,43.5258,5.4547,,,,"Café associatif, animations socio-culturelles, bibliothèque participative-http://cafeculturelcitoyen.org/un-cafe-associatif/",hetero,src-lieux #icon-503-FF8277
Le Lay t'motiv,,45.9556,4.2214,,,,"Café culturel associatif, lieu de rencontres intergénérationnelles et interculturelles en milieu rural- http://www.laytmotiv.fr/",hetero,src-lieux #icon-503-FF8277
ImaginaCtion,,46.075,4.6139,,,,"Café culturel associatif, ateliers variés pour petits et grands, improvisations théâtrales, projections-débats, soirées jeux...http://asso-imaginaction.fr/",hetero,src-lieux #icon-503-FF8277
L'embarqu'Café,,44.8957,4.6447,,,,Café culturel associatif- http://www.embarqucafe.fr/,hetero,src-lieux #icon-503-FF8277
Le Cause-Toujours,,44.9252,4.8997,,,,Café culturel associatif http://www.resocafeasso.fr/le-cause-toujours-26/,hetero,src-lieux #icon-503-FF8277
Jardin partagé Histoire de Nature,,45.2898,4.7326,,,,"Jardin partagé, ateliers de cuisine, animations culturelles et d'éducation à l'environnement-www.oui-transition07.org/index.php?...histoire-de-nature.",hetero,src-lieux #icon-503-FF8277
Le KoToPo,,45.7697,4.8333,,,,"Espace culturel international, café des langues, cuisine et musique du monde, bar international, bibliothèque, jeux, animations culturelles (concerts, débats, ateliers, rencontres, etc..)http://www.kotopo.net/",hetero,src-lieux #icon-503-FF8277
SchlaU,,48.1376,11.5641,,,,Ecole de la deuxième chance pour les réfugiés mineurs non accompagnés.http://www.schlau-schule.de/,hetero,src-lieux #icon-503-FF8277
Babel Studios,,11.6315,104.8813,,,,Studio radio fondé par des réfugiés Cambodgiens exilés des Etats-Unis. Espace d'expression et de création artistique pour les jeunes en difficulté de Phnom Penh- http://www.tourismcambodia.com/directory/news-media/video-production-services/11771_babel-studios.htm,hetero,src-lieux #icon-503-FF8277
Food Coop park Slope,,40.6748,-73.9769,,,,"Coopérative de consommation, supermarché bio et/ou local auto-géré par les clients- http://www.foodcoop.com/?page=contact",hetero,src-lieux #icon-503-FF8277
Café Plùm,,43.7055,2.1372,,,,"Café culturel, librairie, salle de spectacleA la fois café de village, librairie alternative de proximité et lieude programmation culturelle et artistique, le Café Plùm a été pensé parses créateurs comme un pôle culturel en milieu rural.http://www.cafeplum.org/",hetero,src-lieux #icon-503-FF8277
Chez ta Mère,,43.6101,1.4405,,,,Café associatif et culturel - Toulouse (Haute-Garonne),hetero,src-lieux #icon-503-FF8277
Le refuge des Ombradoux,,44.7522,0.8823,,,,"Lieu d'accueil, cette association se veut un soutien pour des personnesdans le besoin.",hetero,src-lieux #icon-503-FF8277
éco-lieu Jeanot,,43.9336,-0.9206,,,,"Jardin éducatif d’agro-écologie nourricier, qui est ouvert à tous. On ytrouve un rucher, une marre, des animaux, des parcelles de cultures,des toilettes sèches, un espace camping, une cuisine collective, uncentre de ressource ! http://www.jeanot.fr/",hetero,src-lieux #icon-503-FF8277
Magiq casaü,,43.3586,-0.1493,,,,"(Mouvement des oasis en tout lieu). Refuge du vivant, ce lieu se veutêtre un lieu de création d'une terre saine où se réutilise les énergiesrenouvelables,etc.http://www.oasisentouslieux.org/IMG/pdf/MAGIQ_CASAU.pdf",hetero,src-lieux #icon-503-FF8277
La Belle Verte,,44.3887,-0.3282,,,,"(Mouvement des oasis en tout lieu). L'association a pour objetl'écologie pratique, elle est une centre de formation, un centre deressources, un lieu de sensibilisation à l'agroécologie.http://la-belle-verte.net",hetero,src-lieux #icon-503-FF8277
L'éco-centre du Périgord,,45.5736,0.9974,,,,"Un lieu d’informations, de démonstrations, d’expérimentations et deformations concernant les techniques écologiques dans le domaine dubâtiment, de l’énergie, de l’eau et du paysage.http://ecocentre.org/",hetero,src-lieux #icon-503-FF8277
Terre de possible,,46.2775,4.541,,,,"(Mouvement oasis en tout lieu). Un lieu d'accueil, de partage et deformations. Verger en biodynamie avec mutualisation de matériel.http://oasisentouslieux.org/IMG/pdf/Terre_de_Possibles.pdf",hetero,src-lieux #icon-503-FF8277
Compagnie de Cirque Galapiat,,48.4979,-2.6897,,,,"Résidence d'artistes, cirque itinérant, centre de ressource et decréation artistique. http://galapiat-cirque.fr/Histoire.html",hetero,src-lieux #icon-503-FF8277
La Marmilie,,43.6119,1.4137,,,,"Restaurant associatif, café culturelhttp://lamarmilie.over-blog.com/",hetero,src-lieux #icon-503-FF8277
Le Couvent alternatif,,48.7756,-3.3045,,,,"Implanté dans le village de Camlez situé dans les côtes d'armor, celieu regroupe des commerçants militants autour d’une cour servant delieu d’animations et de festivités de toutes sortes.http://www.couventalternatif.com/",hetero,src-lieux #icon-503-FF8277
Association Autrement,,47.8494,-4.3092,,,,"Eco-lieu (verger, potager bio) a pour objectif de développer desprojets et des activités allant dans une démarche de respect del'environnement et de développement des relations entrehumains…http://fermautrement.free.fr/",hetero,src-lieux #icon-503-FF8277
Le Champ Commun,,47.9199,-2.2803,,,,"Coopérative de services de proximité : épicerie paysanne, caféculturel,chantiers participatifs, organisation de festival...http://www.lechampcommun.fr/",hetero,src-lieux #icon-503-FF8277
Confluence,,47.9055,-1.7876,,,,"Lieu de vie à trois kilomètres de Rennes, cet éco-hameau se constituede vergers, de jardins et on y trouve des habitats nomade (yourtes,dômes géodésiques). Sur ce site on y partage des savoirs et dessavoirs-faire. http://oasisentouslieux.org",hetero,src-lieux #icon-503-FF8277
"L'Oasis du ""Val heureux""",,47.9175,1.831,,,,"(Mouvement oasis en tout lieu). 250 m2 de jardins biologique y sontaménagés. Il s'agit d'un projet de jardins partagés, une expérienceexpérimentale en milieu urbain. http://oasisentouslieux.org/",hetero,src-lieux #icon-503-FF8277
Le Café des pratiques,,47.2516,6.0351,,,,"Espace de convivialité, de jeux et de fabrication...http://lecafedespratiques.blogspot.fr/p/association.html",hetero,src-lieux #icon-503-FF8277
La Ferme de Bec Hellouin,,49.2297,0.7227,,,,"ferme expérimentale fonctionnant selon les principes de lapermaculture, et centre de séminaires, de recherche et de formation.www.fermedubec.com",hetero,src-lieux #icon-503-FF8277
La Boîte à Lutins,,43.6035,1.4774,,,,"Le café des enfants est un vrai café !!!On y discute plus ou moins fort. On y chahute gaiement. On y ritbeaucoup !!Un bistrot de quartier ordinaire, ou presque…www.laboitealutins.fr",hetero,src-lieux #icon-503-FF8277
La Bergerie de Villarceaux,,49.1173,1.7139,,,,"Lieu unique de dialogue sur les défis de demain, la Bergerie vouspropose une offre complète d'hébergement, de séminaire et derestauration bio, au sein de l'ancien corps de ferme de la Bergerie quia été entièrement rénové écologiquement et dans le respect dupatrimoine architectural local.http://bergerie-villarceaux.org/",hetero,src-lieux #icon-503-FF8277
Le Maquis,,43.366,2.6818,,,,"Le Maquis, c’est avant tout une ferme où se mêlent agriculturepaysanne, engagement social et action culturelle.www.cravirola.com",hetero,src-lieux #icon-503-FF8277
Terre du Cinoble,,42.8616,2.4599,,,,"Le projet « Terre du Cinoble » a pour objectif de proposer de manièreinnovante et globale une solution locale à quatre problèmes actuels dela société concernant l’environnement, le logement, l’emploi et larevitalisation du milieu rural.www.terredevieducinoble.org",hetero,src-lieux #icon-503-FF8277
Camping de la Font Blanche,,42.8493,2.0768,,,,"Gîte et camping associatif et participatif, espaces d'échanges desavoirs, stages et chantiers collectifs",hetero,src-lieux #icon-503-FF8277
Le battement d'ailes,,45.223,1.6728,,,,"Centre agroécologique et culturelLe battement d’ailes se positionne comme un « accompagnateur » œuvrantavec et pour les acteurs de son territoire pour une transformationsociale, écologique et économique au service de l’Homme ici,aujourd’hui et demain partout.www.lebattementdailes.org",hetero,src-lieux #icon-503-FF8277
Ardheia,,45.9246,2.3627,,,,"Partage de savoirs en écoconstruction, construction de cabanes etd'habitations diverses.http://ardheia.free.fr",hetero,src-lieux #icon-503-FF8277
Eco-centre du Pays Nantais - HEOL,,47.6196,-1.3802,,,,"La Maison Autonome : Economie d'énergie et énergie alternatives,assainissement écologique, jardins.www.heol2.org",hetero,src-lieux #icon-503-FF8277
Le Caf'cause,,44.6745,1.8785,,,,"Café culturel associatifLe Caf’Causse, géré par l’association REISSA à Assier propose un lieud’échanges et rencontres.http://reissa.jimdo.com/caf%C3%A9-associatif-caf-causse/",hetero,src-lieux #icon-503-FF8277
La ZAD Notre-Dame-des-Landes,,47.3809,-1.7111,,,,"Collectif de lutte contre l'aéroport de Notre-Dame-des-Landes. Pour unelutte radicale contre le projet d'aéroport! Terre et liberté!cf. « Les avions, c'est plus de saison ""http://lutteaeroportnddl.com/",hetero,src-lieux #icon-503-FF8277
Oasis des 7 cercles,,47.555,-0.2335,,,,"Lieu de vie écologique et solidaire, accueil de groupes et d'individus,séjours de rupture, stages et animations (Mouvement des Oasis en touslieux).www.oasisdes7cercles.com",hetero,src-lieux #icon-503-FF8277
Le jardin des possibles,,47.4548,4.29,,,,"Un jardin collectif et partagé dédié à la rencontre et à la biodiversitéUn lieu que nous voulons vivant, libre, ouvert à toutes les initiativesdans le respect de la faune, la flore et du milieu.http://www.empreintes-auxois.org/jardin-des-possibles/",hetero,src-lieux #icon-503-FF8277
L'équitable café,,43.2945,5.3831,,,,"Café associatif d'information et de sensibilisation alternatifécologique et citoyen, l'Équitable Café propose depuis 9 ans ateliers,projections-débats, cycles d'informations thématiques, rencontresd'auteurs, mais aussi des produits bio, locaux dans une démarcheéquitable, tout cela dans un lieu collectif et ouvert au grand public.http://equitablecafe.org/",hetero,src-lieux #icon-503-FF8277
Le potager d'un curieux,,43.8537,5.4564,,,,"Maraichage biologique, conservation et échange de semences paysanne,animations pédagogiques.Visite des jardins, vente de semences rares ""pour jardiniers amateurs""et de légumes oubliés.La presse en parle.",hetero,src-lieux #icon-503-FF8277
Ferme pédagogique de l'Oiselet,,44.1033,4.9705,,,,"Ferme pédagogique en agriculture biologique, vignes, jardin de légumesanciens, verger conservatoire de fruits oubliés, échange de semences,accueil de groupes, hébergement (yourtes) et animations diverses.www.oiselet.com/fr",hetero,src-lieux #icon-503-FF8277
InYoza,,43.2925,5.3831,,,,"Un lieu qui réunit l'art, la cuisine, la convivialité d'un bon repaspartagé dans un décor très personnalisé.Une cuisine innovante et expérimentale qui, dès le départ, a fait leurforce!http://inyoza.blogspot.fr/",hetero,src-lieux #icon-503-FF8277
La KuiZin,,43.3107,5.3872,,,,"La kuizin est un lieu de proposition, de partage et d’échange, unterrain d’expérimentation pour faire germer actions, idées,alternatives...http://lakuizin.org/l-asso/",hetero,src-lieux #icon-503-FF8277
Jardin de Gibraltar,,43.3108,5.3874,,,,"Lieu de vie dans les quartiers populaires de Marseille, activitéspédagogiques, ludiques et artistiques autour du jardinage, del’environnement et de l’éco-construction.http://lartichaut.net/",hetero,src-lieux #icon-503-FF8277
Le Hameau de buis / La ferme des enfants,,44.4068,4.2218,,,,"Lieu de vie et d'accueil autour d'une école. Agriculture vivrière etagro-écologique, éco-construction, accueil, stages, formation(Mouvement des Oasis en tous lieux).www.la-ferme-des-enfants.com",hetero,src-lieux #icon-503-FF8277
Au fil de l'O,,43.569,1.4014,,,,Restaurant et bar culturelLe projet porté et géré par des habitants du quartier est un lieu derencontre et de gastronomie ouvert à tous.http://www.etymon.fr/Les-projets/Au-Fil-de-l-O/,hetero,src-lieux #icon-503-FF8277
Oasis Bellecombe,,44.5032,5.3852,,,,"Eco-site, hébergement en habitat léger (yourtes, tipis et roulottes),stages et visites (Mouvement des Oasis en tous lieux).www.oasisbellecombe.com",hetero,src-lieux #icon-503-FF8277
Ecoasis de la Pinsole (le Pré au yourtes),,45.2232,4.549,,,,"Ferme en polyculture, habitat bioclimatique et responsable, chantiersd'éco-construction, stages et animations variés (culture, agriculture,santé, développement personnel...)www.yourtes.supersite.fr",hetero,src-lieux #icon-503-FF8277
Le Vieil Audon,,44.5062,4.364,,,http://www.levielaudon.org,"Centre d’éducation à l’environnement, au développement durable et à lacoopération (membre du réseau REPAS [d'échanges et de pratiques alternatives et solidaires])",hetero,src-lieux #icon-503-FF8277
Boulangerie La Tartine,,45.8038,6.2086,,,,Boulangerie coopérative autogérée (membre du réseau REPAS) La presse en parle !,hetero,src-lieux #icon-503-FF8277
La Miecyclette,,45.724,4.8837,,,,"Boulangerie artisanale et biologique (coopérative), groupement d'achatet livraison à vélohttp://www.lamiecyclette.fr/",hetero,src-lieux #icon-503-FF8277
3 ptits pois,,45.7481,4.8411,,,,"Epicerie conviviale de produits bio, locaux et équitable, en vrac(coopérative de distribution)http://www.3ptitspois.fr/",hetero,src-lieux #icon-503-FF8277
Ardelaine,,44.813,4.4855,,,,Coopérative de transformation et de commercialisation de la laine +Café Librairie + Restaurant écolo et solidaire (La cerise sur l'agneau)www.ardelaine.fr,hetero,src-lieux #icon-503-FF8277
De la Ferme au Quartier,,45.4595,4.3949,,,,"Circuit court similaire aux AMAP, son mode d’organisation permet àplusieurs centaines de familles d’accéder à des produits de qualitéissus d'une agriculture paysanne et locale.www.delafermeauquartier.org",hetero,src-lieux #icon-503-FF8277
Maison de l'écologie,,45.7738,4.8358,,,,"Centre de ressources / ludothèque / médiathèque, espace d'accueil etd'hébergement pour des associations solidaires, des foires et desmanifestations diverses autour de l'écologie.http://maisonecologie.lyon.free.fr/",hetero,src-lieux #icon-503-FF8277
Le Café de Burgaud,,43.7944,1.1632,,,,"Café associatifUn lieu associatif créé pour faire vivre une autre culture, pour lesnouveaux talents et leurs multiples expressions.http://cafeduburgaud.over-blog.com/",hetero,src-lieux #icon-503-FF8277
Terre de Possibles,,46.2847,4.536,,,,"Une association pour se relier à la terre, favoriser la rencontreautour d'un réseau d'échange et de partage, pour une vie plus simple,plus écologique et solidaire...http://terre-de-possibles.org/",hetero,src-lieux #icon-503-FF8277
Le Mas de beaulieu,,44.4557,4.1961,,,,Formation et sensibilisation à l'agroécologie.Transmission de l’agroécologie comme pratique et éthique visantl’amélioration de la condition de l’être humain et de son environnementnaturel.www.terre-humanisme.org,hetero,src-lieux #icon-503-FF8277
La ferme autogérée du Roya,,44.0619,7.6128,,,,"Si vous voulez passer quelques jours au calme, participer aux travauxde la ferme, venir comme volontaire, participer aux différentesmanifestations, chantiers et stages, participer à une démarchealternative et engagée, les portes vous sont ouvertes (voir Séjour -Accueil et Volontariat).www.collectif-far.org",hetero,src-lieux #icon-503-FF8277
La frênaie,,46.2967,-0.6912,,,,"Eco-camping, Fabrication artisanale, vente et location de yourtes et detipis, animations nature dans le Marais Poitevin.www.lafrenaie.org",hetero,src-lieux #icon-503-FF8277
Le Verger conservatoire de Pétré,,46.4517,-1.1026,,,,Conservation de variétés anciennes de pommes et de poires ettransmission de savoir-faire.En savoir +,hetero,src-lieux #icon-503-FF8277
Café Charbon,,46.9954,3.169,,,,Scène de musiques actuelles amplifiées (consulter la programmation) -Nevers (Nièvre)www.aucharbon.org,hetero,src-lieux #icon-503-FF8277
AMAP Les paniers mouillés,,46.2954,-0.6359,,,,Association de maintien d'une Agriculture Paysanne dans le MaraisPoitevinhttp://les-paniers-mouilles.wifeo.com/(Distribution des paniers à La petite épicerie du Vanneau),hetero,src-lieux #icon-503-FF8277
Bar à T'M,,44.338,1.5467,,,,Café-épicerie associatifhttp://bar-a-themes-escamps.monsite-orange.fr/index.html,hetero,src-lieux #icon-503-FF8277
SCOP Andines,,48.9436,2.3474,,http://www.andines.com/,,"Magasin de détail, importateur et grossiste de produits issus ducommerce équitable (Nord - Nord et Nord - Sud).",hetero,src-lieux #icon-503-FF8277
Eco-Village auto-construit de Pescomaggiore,,42.356,13.5092,,,,"Tourisme solidaire, techniques agricoles traditionnelles, rénovation ducentre historique, protection de l'environnement.Initiative des citoyens de Pescomaggiore pour promouvoir comme biencommun la promotion sociale, culturelle, environnementale et économique.www.pescomaggiore.org",hetero,src-lieux #icon-503-FF8277
Afro shop,,52.5517,13.3485,,,,un lieu de liberté et de solidarité,hetero,src-lieux #icon-503-FF8277
Can Masdeu,,41.4457,2.1575,,,,"Collectivité vivante et autonome, banque de graine, espace de gratuité,espace collectif, jardins partagés, formation à l'agro-écologie etpermaculture.www.canmasdeu.net",hetero,src-lieux #icon-503-FF8277
Le Jardin des Fraternités Ouvrières,,50.7421,3.219,,,,"Oasis en permaculture, à Mouscron. Cours de permaculture, groupementd'achat bio... Infos sur le forum d'oléotransition",hetero,src-lieux #icon-503-FF8277
Kirjakahvila (book  café),,60.4529,22.2665,,,,"Lieu de rencontres, d'expo, de projections, de concerts et de débat. Unlieu de détente, avec de bons cafés, des brunchs et un marché partagé.www.kirjakahvila.org",hetero,src-lieux #icon-503-FF8277
Kulttuuriolohuone (le  salon de culture),,60.4393,22.2608,,,,"Lieu de vie, de culture et de convivialité. Salon de thé. Librairie.Activités socio-culturelles surprenantes et rafraîchissantes. A placeto share peacefully...http://martinkulttuuriolohuone.wordpress.com/",hetero,src-lieux #icon-503-FF8277
Annis,,61.4877,21.7889,,,,"Usine réhabilitée en espace culturel. Lieu d'expression culturelle etde liberté, représentations théâtrales et expérimentations artistiquesvariées.http://www.pori.fi/annis/inenglish.html",hetero,src-lieux #icon-503-FF8277
Koroinen,,60.4661,22.2928,,,,"Espace de formation aux techniques de travail de matériauxtraditionnels. Ouverts à tous, ce lieu de partage des savoirs proposele café aux promeneurs le dimanche.www.koroinen.fi",hetero,src-lieux #icon-503-FF8277
La Bouche à Oreilles,,43.4449,0.7361,,,,"Café restaurant culturel de ruralité. On y trouve des concerts (du jazzau rock en passant par la musique classique), des repas en circuitscourts, des expos, des soirées hebdomadaires de belote et d'échec, del'informatique en libre accès, un service Relais de l'économiesolidaire, etc... cafe.boucheaoreille@free.fr",hetero,src-lieux #icon-503-FF8277
Café Neio,,37.994,23.7077,,,,Café culturel associatif en autogestion au coeur d'Athènes.http://www.european-village.org/kafeneio.asp,hetero,src-lieux #icon-503-FF8277
World of mother nature,,39.6307,19.763,,,,Agriculture naturelle (selon les préceptes de Masanobu Fukuoka) - Corfu.https://www.facebook.com/pages/World-of-Mother-Nature/417872534978569,hetero,src-lieux #icon-503-FF8277
PanoTaKato,,39.6089,19.8331,,,,"Ferme en agriculture biologique (production et transformation degingembre, de cacahuètes, d'olive et de fruits). - Corfuhttps://www.facebook.com/panw.takatw/about",hetero,src-lieux #icon-503-FF8277
Spithari Waking Life,,38.1529,23.9618,,,,"Ecole et pédagogie alternative (centrée sur les questions detransition), agriculture hydroponique, construction de dômesgéodésiques - Marathonas (Athènes).",hetero,src-lieux #icon-503-FF8277
Le Souleilla,,43.0395,1.3008,,,,"Le Souleilla c'est au départ un projet communal, un projet qui chercheà palier la fermeture d'un des derniers commerce du village et ainsirouvrir un lieu original qui répond à un besoin de services,d'animation en campagne, ouvert à tous. http://souleilla.com/index.php?",hetero,src-lieux #icon-503-FF8277
La pistouflerie,,43.2271,0.7923,,,,Bistrot Concert Bibliothèque Associatif à Cassagnabère ! Ouvert depuisle 20 mars 2010.Concerts les Vendredis et Samedis parfois plus...http://lapistouflerie.blogspot.fr/,hetero,src-lieux #icon-503-FF8277
La Croix d'Alric,,44.1285,1.8795,,,,Café associatifhttp://lacroixdalric.over-blog.com/,hetero,src-lieux #icon-503-FF8277
Ecole de Cirque Pré En Bulles,,43.6003,0.4889,,,,"Lieu de découverte et d'apprentissage des arts du cirque,stages/séjours de vacances en été autour du cirque et del'environnement pour des enfants de 6 à 17 ans -http://preenbulles.free.fr/Idrac-Respailles (Gers)",hetero,src-lieux #icon-503-FF8277
Le Zazou bar,,43.6097,2.2372,,,,"Café repaire qui est le reflet même de la culture française, il est undes lieux incontournables de Castres... avec un programme musicaldiversifié !http://lajourneedemademoiselle.over-blog.com/article-le-zazou-74759008.html",hetero,src-lieux #icon-503-FF8277
Le Bar Ouf,,44.4466,1.4431,,,,Bar-café alternatif dans le centre ville de Cahors,hetero,src-lieux #icon-503-FF8277
L'ibère familier,,43.7493,1.9968,,,,"Un espace associatif, une salle de spectacles, un refuge, une cantine,un cyber, une petite bouffée d’air, un lieu incontournable « bourréd’humanité »http://liberefamilier.org/",hetero,src-lieux #icon-503-FF8277
L'atelier idéale (La Chapelle),,43.6137,1.4367,,,,"Ateliers, rencontres, concerts, scène ouverteL’expression de la critique de tous les mécanismes d’aliénationcollective et individuelle, de tous les mécanismes qui tendent àconfondre accès à la citoyenneté et accès à la consommation. Espace deprise parole citoyenne.www.atelierideal.lautre.net",hetero,src-lieux #icon-503-FF8277
Folles Saisons,,43.5785,1.3912,,,,"Café culturel, restaurant - Toulouse (Haute-Garonne)Folles Saisons197 Route de Saint-Simon31100 Toulouse, France+33 5 62 14 64 85follessaisons.org",hetero,src-lieux #icon-503-FF8277
