name,address,lat,lng,scale,contact,description,source,tags
Vannerie et ateliers d'écriture,,44.401657,3.976278,,,http://reconquerirsavie.fr/claire-la-reconquete-d-une-vie/<br> Vannerie et atelier d'écriture<br><br>Claire Eggermont et Dany Vilaine<br>La Chase<br>30450 Ponteils et Bresis<br>04 66 43 17 08<br>clairelor@yahoo.fr<br>http://www.stages-vannerie.com,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
Terre de Liens,,44.77598600000001,5.276184,,,"association terredeliens<br>http://www.terredeliens.org<br> Retour à la terre<br>Investissement responsable<br>Économie sociale<br><br>Terre de Liens National<br>10, rue Archinard<br>26400 Crest<br>09 70 20 31 00<br><br> ",citoy_untitled(seemsFromVozdelViento),#icon-503-0BA9CC
Ardelaine,,44.813507,4.487228,,http://www.ardelaine.fr,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
Philippe Derudder,,45.038597,5.059204000000001,,,"Monnaies locales complémentaires<br>La Mesure, utilisée à Romans s/ Isère",citoy_untitled(seemsFromVozdelViento),#icon-503-B29189
Alain David,,44.402882,4.132919,,,Reconversion<br>Paysan itinérant<br>http://planetemere.org/>,citoy_untitled(seemsFromVozdelViento),#icon-503-4186F0
"To: Lys-Saint-Georges, France",,46.643544,1.8251039999999998,,http://www.citazine.fr/blog/mathieulamour/il-vivent-heureux-trois-avec-1000-euros-par-mois<br>http://www.workaway.info/1991129954c1-en.html ,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
Festival Nowhere,,41.792174,-0.15713000000005195,,http://voyageurs.en-transition.fr/2012/07/19/nowhere-juste-un-festival/,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
Le champ commun,,47.918852,-2.279745999999932,,http://www.lechampcommun.fr/,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
La rOnce,,47.712049,-2.515072000000032,,http://utoplib.blogspot.fr/2010/02/la-ronce-une-utopie-en-morbihan.html,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
La maison des faire-ailleurs,,44.4838049,-0.9788069999999608,,,Téléphone: +30.5.58.82.16.68  julien.sillac@gmail.com        site : http://www.faireailleurs.org/?p=517#more-517                     blog : http://l-indigne.skyrock.com/3072034899-Les-Faire-Ailleurs.html,citoy_untitled(seemsFromVozdelViento),#icon-503-7CCFA9
Notre-Dame-des-Landes,,47.381523,-1.7112690000000157,,,"https://picasaweb.google.com/lh/photo/OXK9KyxFIYo147TtvpAP0NMTjNZETYmyPJy0liipFm0?feat=embedwebsite#à regarder avant de venir : http://zad.nadir.org/spip.php?article357Besoin de renfort, il y a de quoi héberger, et de quoi nourrir sur place, n’hésitez pas à ramener du matériel : http://zad.nadir.org/spip.php?article515",citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
Eco-site en mutation.,,42.613243626050426,2.717742919921875,,,"Plantation d’arbres fruitiers, ornementaux et jardins potagers. Reste la construction.Offre: Amitié, nourriture végétarienne ou sauvage, construction bioclimatique avec matériaux sains (bois, pierre, brique…) >> danses sacrées, logement en caravane.>>créer, partager, apprendre, s’exprimer, se faire plaisir.Demande: Aide pour construction, jardin bio. Interdit de fumer. essayer le tél :0427 86 8546 (insister),plutôt entre 13h et 15h, ou de 10h à 20h. C’est aléatoire parce quesatellitaire et solaire et nous ne sommes pas toujours à côté…Pyrénnées orientales30km de Perpignan",citoy_untitled(seemsFromVozdelViento),#icon-503-F4EB37
Valli Unite,,44.817197,8.918806000000018,,http://terreaterre.ww7.be/valli-unite.html,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
AlterVillage,,45.643469,3.43442,,http://voyageurs.en-transition.fr/2012/08/16/altervillage-2012-discuter-vivre-lalternative-ou-les-deux/,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
Halte à Clermont-Ferrand,,45.767523,3.0761720000000423,,,Hôtel des Vil-e-s http://hoteldesvil-e-s.blogspot.fr/ ,citoy_untitled(seemsFromVozdelViento),#icon-503-F8971B
Habitat groupé,,44.7480463,1.424142599999982,,http://ecohameaudandral.over-blog.org/pages/Pour_nous_contacter_-2715955.html,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
"To: Ars, Creuse",,46.00353,2.07808,,http://voyageurs.en-transition.fr/2012/09/12/quand-un-ingenieur-simmerge-dans-le-monde-alternatif-ca-peut-aussi-etre-un-choc-des-cultures/,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
La Vraie-Croix,,47.689335,-2.542754,,http://voyageurs.en-transition.fr/2013/01/15/un-mois-de-vie-avec-un-couple-de-paysans-boulangers-et-leurs-trois-enfants/,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
La Clémente Rie,,44.62016571372132,4.38629150390625,,http://la-clementerie.revolublog.com/venir-a90285895,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
À : Fougerolles-du-Plessis,,48.47454,-0.974411,,http://voyageurs.en-transition.fr/2011/12/19/trois-semaines-anglaises-particulieres-au-coeur-de-la-mayenne/,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
Ferme collective du Chant des Ânes,,45.07665500000001,4.891023000000018,,,"10, impasse les chardières<br>26600 Mercurol<br>06 52 28 01 08<br><br>Ferme collective de 7 ha en polyculture élevage (brebis, poules, abeilles, ânes, maraîchage, vergers...).<br>Agroécologie Paysanne !<br>Centre d'accueil : rencontres d'associations, formations / ateliers / chantiers collectifs, résidences artistiques, particuliers...<br>Siège social de l'association Teth-Bêche (http://tethbeche.wordpress.com/)<br>etc.",citoy_untitled(seemsFromVozdelViento),#icon-503-009D57
CENTRE  D’ECOLOGIE ET D’ECONOMIE ALTERNATIVE,,47.6592794,6.996029200000066,,,"2 RUE DU MOILLOT, 90150 PHAFFANS, Territoire de Belfort (353 hab. Carte Mich. 66, pli 8 SE), tel. 03 84 29 95 04, fax 03 84 29 97 41. <br><br>Le projet est présidé par le maire-adjoint Roger Heyer et prévoit la création d’un ECOVILLAGE DU DEVELOPPEMENT DURABLE sur 30 ha. dans le Territoire de Belfort “vértitable centre de recherche, d’expérimentation, d’application et de diffusion du développement durable et de l’écologie. Ce village sera un salon et une vitrine permanente du développement durable et servira de guide vivant à l’acte d’urbaniser et de construire”.<br><br> <br><br>Le 24 mars 1989, le Conseil municipal de Belfort a donné à l’unanimité son accord sur cette initiative.<br><br> <br><br>Selon le rapport: ce centre CEA devra promouvoir des modes de production et de consommation alternatifs, respectant la vie de l’homme et de son environnement et espère – par rayonnement – favoriser l’évolution de la société dans un sens plus convival et écologique.<br><br> <br><br>Il se veut un laboratoire de recherche, d’expérimentation, d’application et de diffusion des idées, solutions et techniques écologiestes. Sa conception architecturale tiendra compte des principes écologiques et éconimiques et de l’utilisation rationnelle des ressources et matières premières et comprendra une banque de gestion de matériels.<br><br> <br><br>Ouvert à toute personne, désirant vivre et travailler autrement en respectant la nature, surtout aux plus défavorisés et exclus de l’économie de marché, en apportant l’expérience d’un enseignement et d’une application.",citoy_lieuxdeviebasesnomad,#icon-503-DB4436
E A U  V I V A N T E,,43.413096,0.9508650000000215,,,"32220 ST.LIZIER DU PLANTE, Gers (120 hab. Carte Mich. 82, pli 16 NO), tel/fax: 05 62 62 05 52, e-mail: eve@in-net.inba.fr.<br><br> <br><br> <br><br> <br><br>Anne Rivière, ingénieur des eaux, est propriétaire des lieux et fondatrice de l’Association 1901, active depuis 1997, organisatrice de rencontres, conférences et de stages écologiques (gestion de l’eau, cabanes en rondins, apiculture, jardinage naturel, construction en terre crue, énergies alternatives).<br><br> <br><br>La vie commune, sobre et végétarienne – avec un moment de prière/méditation quotidienne proposé, jamais imposé – s’organise grâce à l’accueil de l à 5 stageaires étrangers (Willing Workers on Organic Farms) faisant un “tour d’Europe” et séjournant quelques mois sur place dans 2 chalets en rondins, l caravane + tentes. Un projet prévoit la construction de petites maisons en terre crue/ossature bois. <br>Carte des Alternatives<br><br>Si vous avez le projet de partir à la découverte de ces « vivre autrement », nous pouvons vous  aider dans votre démarche. Surtout, contactez-les lieux au moins un mois en avance pour vous assurer qu’ils peuvent vous accueillir. Veillez également à bien préparer votre projet. Certaines personnes peuvent être très sollicitées et même si l’accueil est le plus souvent chaleureux, ils peuvent aussi être fatigués de répondre à des demandes peu élaborées. Si vous avez besoin d’un accompagnement, lisez d’abord et surtout ces quelques conseils et si cela ne suffit pas : contactez nous !<br><br>Une sélection par nos soins est ici.<br><br>En voici une plus complète avec toutes les adresses que nous avons pu trouver, elles sont donc non vérifiées, merci de nous proposer vos mises à jour.<br><br>Et avis aux amateurs, si vous maîtrisez OpenStreetMap ou que vous connaissez seulement Googlemaps tout en étant prêt à passer des heures sur ce long labeur, contactez-nous !<br><br>Version google maps<br><br>Une carte est disponible avec d’autres adresses ici.<br><br>Un wiki recensant des lieux ouverts est disponible ici.<br><br>Une carte des refuges ici.<br><br>Et d’autres en vrac en attendant que nous les ajoutions à la carte :<br><br>E S T<br><br> <br><br>—————————————————————————<br><br> <br><br> <br><br> <br><br>E C O L O N I E , 1 THIETRY, 88260 HENNEZEL, Vosges (451 hab. Carte Mich. 62, pli 15 SO), tel: 03 29 07 00 94, fax: 03 29 07 00 94,<br><br> <br><br>E-mail: Ecolonie@aol.com. (à lire: article Silence nr. 227)<br><br> <br><br> <br><br> <br><br>Ce “centre européen” – dans une ancienne colonie de vacances à 7 km. d’un médécin, de l’école, des commerces, à 30 km. d’une gare – est actif depuis 1989. Actuellement 10 hommes, 10 femmes, 2 enfants, de nationalités néerlandais et français, vivent dans un hameau de 4 maisons sur 6 ha, y jardinent et rénovent (avec l’aide de bénévoles) pour atteindre le but écologique fixé.  On y trouve un jardin pour plantes aromatiques (label de garantie ECO), une cuisine végétarienne, des salles de stages, des chambres d’hôtes, un camping avec ECOboutique, un étang pour la baignade, un sauna et hutte de sudation et des ateliers d’art (e.a. autour d’un projet “Total Art Oasis”, création d’objets qui sont en relation avec les chakras et leurs énergies).<br><br> <br><br>L’association a de bonnes relations avec la commune et est ouverte à accueillir d’autres permanents qui peuvent faire connaissance pendant des weekends de rencontre ou par des séjours de bénévolat. <br><br> <br><br> <br><br> <br><br>—————————————————————————<br><br> <br><br> <br><br> <br><br>PROJET DU CENTRE  D’ECOLOGIE ET D’ECONOMIE ALTERNATIVE, 2 RUE DU MOILLOT, 90150 PHAFFANS, Territoire de Belfort (353 hab. Carte Mich. 66, pli 8 SE), tel. 03 84 29 95 04, fax 03 84 29 97 41.<br><br> <br><br> <br><br> <br><br>Le projet est présidé par le maire-adjoint Roger Heyer et prévoit la création d’un ECOVILLAGE DU DEVELOPPEMENT DURABLE sur 30 ha. dans le Territoire de Belfort “vértitable centre de recherche, d’expérimentation, d’application et de diffusion du développement durable et de l’écologie. Ce village sera un salon et une vitrine permanente du développement durable et servira de guide vivant à l’acte d’urbaniser et de construire”.<br><br> <br><br>Le 24 mars 1989, le Conseil municipal de Belfort a donné à l’unanim",citoy_lieuxdeviebasesnomad,#icon-503-DB4436
F E R M E  D U  B O N H E U R,,43.1465069,1.424142599999982,,,"PEDESCAUX, 09130 ARTIGAT, Ariège (416 habitants, carte Mich. 86, pli 4 NO), tel. 05 61 68 58 87 (info: enveloppe réponse timbrée).<br><br> <br><br> <br><br> <br><br>Depuis janvier 1986, Pascal Laurent a trouvé un grand nombre de personnes qui se sont impliquées par l’acquisition de parts de GFA. Seul Pascal vit en permanence sur les 25 ha. prés, 10 ha. garrigue, 6 ha. bois, l ha. jardin en développant  des activités agricoles (élevage ânes, vaches, chevaux, culture jardin, arbres fruitiers), l’accueil/échange/séjour écologique, la communion avec la nature.<br><br> <br><br>Divers points d’eau, petits lacs, source, ruisseau, adduction: pour population éventuelle de 50 pers. Utilisation maximum d’énergie solaire, surtout pour l’eau chaude.<br>Carte des Alternatives<br><br>Si vous avez le projet de partir à la découverte de ces « vivre autrement », nous pouvons vous  aider dans votre démarche. Surtout, contactez-les lieux au moins un mois en avance pour vous assurer qu’ils peuvent vous accueillir. Veillez également à bien préparer votre projet. Certaines personnes peuvent être très sollicitées et même si l’accueil est le plus souvent chaleureux, ils peuvent aussi être fatigués de répondre à des demandes peu élaborées. Si vous avez besoin d’un accompagnement, lisez d’abord et surtout ces quelques conseils et si cela ne suffit pas : contactez nous !<br><br>Une sélection par nos soins est ici.<br><br>En voici une plus complète avec toutes les adresses que nous avons pu trouver, elles sont donc non vérifiées, merci de nous proposer vos mises à jour.<br><br>Et avis aux amateurs, si vous maîtrisez OpenStreetMap ou que vous connaissez seulement Googlemaps tout en étant prêt à passer des heures sur ce long labeur, contactez-nous !<br><br>Version google maps<br><br>Une carte est disponible avec d’autres adresses ici.<br><br>Un wiki recensant des lieux ouverts est disponible ici.<br><br>Une carte des refuges ici.<br><br>Et d’autres en vrac en attendant que nous les ajoutions à la carte :<br><br>E S T<br><br> <br><br>—————————————————————————<br><br> <br><br> <br><br> <br><br>E C O L O N I E , 1 THIETRY, 88260 HENNEZEL, Vosges (451 hab. Carte Mich. 62, pli 15 SO), tel: 03 29 07 00 94, fax: 03 29 07 00 94,<br><br> <br><br>E-mail: Ecolonie@aol.com. (à lire: article Silence nr. 227)<br><br> <br><br> <br><br> <br><br>Ce “centre européen” – dans une ancienne colonie de vacances à 7 km. d’un médécin, de l’école, des commerces, à 30 km. d’une gare – est actif depuis 1989. Actuellement 10 hommes, 10 femmes, 2 enfants, de nationalités néerlandais et français, vivent dans un hameau de 4 maisons sur 6 ha, y jardinent et rénovent (avec l’aide de bénévoles) pour atteindre le but écologique fixé.  On y trouve un jardin pour plantes aromatiques (label de garantie ECO), une cuisine végétarienne, des salles de stages, des chambres d’hôtes, un camping avec ECOboutique, un étang pour la baignade, un sauna et hutte de sudation et des ateliers d’art (e.a. autour d’un projet “Total Art Oasis”, création d’objets qui sont en relation avec les chakras et leurs énergies).<br><br> <br><br>L’association a de bonnes relations avec la commune et est ouverte à accueillir d’autres permanents qui peuvent faire connaissance pendant des weekends de rencontre ou par des séjours de bénévolat. <br><br> <br><br> <br><br> <br><br>—————————————————————————<br><br> <br><br> <br><br> <br><br>PROJET DU CENTRE  D’ECOLOGIE ET D’ECONOMIE ALTERNATIVE, 2 RUE DU MOILLOT, 90150 PHAFFANS, Territoire de Belfort (353 hab. Carte Mich. 66, pli 8 SE), tel. 03 84 29 95 04, fax 03 84 29 97 41.<br><br> <br><br> <br><br> <br><br>Le projet est présidé par le maire-adjoint Roger Heyer et prévoit la création d’un ECOVILLAGE DU DEVELOPPEMENT DURABLE sur 30 ha. dans le Territoire de Belfort “vértitable centre de recherche, d’expérimentation, d’application et de diffusion du développement durable et de l’écologie. Ce village sera un salon et une vitrine permanente du développement durable et servira de guide vivant à l’acte d’urbaniser et de construire”.<br><br> <br><br>Le 24 mars 1989, le Conseil municipal de Belfort a donné à l’unanimité son accord sur cette initiative.<br><br> <br><br>Selon le rapport: ce centre CEA devra promouvoir des modes de production et de consommation al",citoy_lieuxdeviebasesnomad,#icon-503-DB4436
H I E R  E T  A U J O U R D ‘ H U I  P O U R  D E M A I N,,43.4606138,3.11775549999993,,,"LIBES, 34490 ST.NAZAIRE DE LADAREZ, Hérault (361 hab. Carte Mich. 83, pli 14 NO), tel. 04 67 89 71 15.<br><br> <br><br> <br><br> <br><br>MARIE-CHRISTINE NIQUET ET JEAN-LUC  BOISSIE veulent acheter avec d’autres intéressés cette propriété, où ils vivent déjà avec leurs enfants de 4 et 14 ans. Il y a une grande maison/bergerie (+ four à pain et séchoir à châtaignes) à restaurer, sur 83 ha, dont 18 ha. exploitables (4 ha. vignes en friches, 3 ha. de champs, bois: chênes verts, châtaigners, frênes, érables champêtres, arbousiers) à 450 m. d’altitude, sans électricité, avec source, puits, réserves d’eau et forage prévu. Accès par chemin forestier: 10 km. d’un médécin, 4 km d’une école primaire, 13 km. de commerces et d’enseignement supérieur et 30 km. d’une gare.<br><br> <br><br>Marie-Christine (40 ans) est prof de yoga, fait de la cuisine végétarienne et a une formation horticulture. Jean-Luc (45 ans) est luthier, s’occupe de menuiserie, construction et jardinage. <br><br> <br><br>Projets: fabrication professionnelle de compost bio et plantes médicinales, revalorisation d’anciens métiers (vannerie, poterie), “repas végétarien à la ferme”, accueil stages de développement personnel.<br><br> <br><br>RECHERCHE de participation (coopérative et financière) d’autres personnes, végétariens, sans dépendances (alcool/tabac/etc.), qui ont aussi envie de développer les concepts de “La Prophétie des Andes” (livre de James Redfield) pour ensemble s’occuper de la restauration et de la protection de la vallée (faune et flore) pour qu’elle soit “une Vallée-Jardin”.<br><br> <br><br>Offre: préparation de repas pour un groupe + énergie de travail (construction, menuiserie, jardinage).<br><br> <br><br>Au 24/01/2000, ce projet a été retiré faute de l’accord du propriétaire",citoy_lieuxdeviebasesnomad,#icon-503-DB4436
L E  M A S  S O U V A D O U,,43.5748515,3.1578875000000153,,,"34600 PEZENES-LES-MINES, Hérault (207 hab. Carte Mich. 83, pli 5 SO), tel/fax 04 67 95 10 92.<br><br> <br><br> <br><br> <br><br>Après 4 ans d’installation, Hanna-Isabelle Jouck (51 ans, thérapeute/énergétique vocale, contact avec communauté chrétienne de partage et avec mouvance d’Amma) + fils (17 ans) s’orientent vers l’accueil/ressourcement en participation avec d’autres personnes. La propriété a 27 ha, dont 2/3 bois et 1/3 prés/ garrigue, eau de ville, forage possible, Bedarieux (5997 hab.) à 12 km. La commune est au courant du projet, ne s’oppose pas à l’idée de bio-constructions.<br><br> <br><br>Le lieu pourrait suffire à 5 familles: végétariens + apport financier, recherche intérieure et vie sobre, acceptant le dialogue, pour développement accueil (enfants), maraîchage, énergies naturelles, éco-construction, animaux débroussailleurs et laitiers, tâches communes.<br><br> <br><br>Offre: remise en forme et études faites sur la circulation de l’argent.",citoy_lieuxdeviebasesnomad,#icon-503-DB4436
L E  C U N  D U  L A R Z A C,,44.0910822,3.1378173000000515,,,"ROUTE DE ST.MARTIN, 12100 MILLAU, Aveyron (Millau à 17 km: 21 788 hab. Carte Mich. 80, pli 14 NO), tel. 05 65 60 62 33, fax 05 65 61 33 26. (à lire: article Silence nr. 226)<br><br> <br><br> <br><br> <br><br>“Depuis plus de 20 ans, nous vivons une recherche pour réagir aux violences de nos sociétés désorientées. Nous formons des outils pour inscrire des valeurs dans nos actes et retrouver le sens de notre humanité.”<br><br> <br><br>La coopération entre 4 hommes et 4 à 6 femmes (au delà de 30 ans) avec leur 4 à 10 enfants (5 à 16 ans), depuis plus de 20 ans, a crée un centre de stages et de formations, professionnelles et “à la demande”, sur les thèmes suivants: démarche communautaire et développement individuel, partage du pouvoir et des responsabilités, approche constructive des conflits, dialogue sur les peurs, les besoins et les désirs dans le respect des différences.<br><br> <br><br>Le centre est géré par une Association et une SCI (pour collecter les fonds nécessaires à l’achat des terrains et à la construction du centre d’accueil), dans un hameau de quelques maisons (+ bibliothèque de 4000 livres), approvisionné par l’eau de pluie, sur le plateau du Larzac et ses grands causses.<br><br> <br><br>Vous pouvez vous abonner à leur “lettre de nouvelles” mensuelle.",citoy_lieuxdeviebasesnomad,#icon-503-DB4436
"ASS. C A R A P A , OLIVIER ROGNON",,44.1482551,4.038891799999988,,,"VAUGRAN, 30480 ST. PAUL-LA-COSTE, Gard (193 hab. Carte Mich. 80, pli 17 NE), tel. 04 66 30 13 42.<br><br> <br><br> <br><br> <br><br>S’inspirant d’héritages actualisés de sociétés traditionnelles et tribales, l’éco-hameau CARAPA vise l’autonomie, la simplicité, l’harmonie, l’épanouissement et la non-nuisance, en s’efforçant d’unifier en permanence les dimensions spirituelle, affective et matérielle. Des visites sont organisées ainsi que des stages estivaux d’initiation à la terre.<br><br> <br><br>Le lieu de 7 ha. (faisant partie du domaine de Vaugran) comprend 2 ha. de bois, un jardin/verger, et 4 ha. de maquis, nourri par une source et un ruisseau (à prévoir: réservoirs/citernes). La vie y est simple: jardinage forestier, permaculture, pas d’élevage, les habitations: cabanon/caravanes provisoires et deux éco-habitats circulaires “cosmotelluriques” auto-construits (article dans “soleil levant” nr. 49, janvier 99), énergie photovoltaïque/ bois et micro-hydraulique en projet.<br><br> <br><br>Accès: 1,5 km. de bonne piste, médécin: 8 km, école: 5 km, commerces/enseignement supérieur et gare: 12 km. Alès.<br><br> <br><br>Recherche d’une dizaine d’adultes, qui se sentent en accord avec ces mots-clés: écologie radicale, intégration au milieu forestier, alternatives à l’exploitation animale, permaculture et jardinage forestier, habitats biotiques…",citoy_lieuxdeviebasesnomad,#icon-503-DB4436
T E R R O I R  V I V A N T,,43.9569967,6.365156999999954,,,"CHEZ J-PIERRE LOCATELLI, 04330 BLIEUX, Alpes de Haute Provence (57 hab. Carte Mich. 81, pli 17 SE),<br><br> <br><br>tel. 04 92 34 24 20.<br><br> <br><br> <br><br> <br><br>Le projet date de 1992-95 et vise à revitaliser l’extrémité d’une vallée en Haute Provence par une démarche collective comportant<br><br> <br><br>- une dimension paysanne pour assurer l’autonomie locale: jardinage, grandes  cultures, élevage de chèvres angora, basse-cour, apiculture, tissage, plantes sauvages, etc…<br><br> <br><br>- une dimension paysagère qui vise, par des travaux d’écologie pratique, à restaurer un environnement et un paysage à la fois beaux et dégradés (revégétalisation, construction de terrasses, entretien de la forêt, création d’écosystèmes);<br><br> <br><br>- une dimension poétique qui intègre l’esthétique, la création artistique et une réflexion philosophique/spirituelle dans une démarche rurale;<br><br> <br><br>- une dimension pédagogique pluriforme: un circuit entre différents types de jardinage, l’accueil d’enfants en difficultés et d’adultes en vue d’insertion, l’accueil touristique.<br><br> <br><br>Le noyau compte actuellement trois adultes et deux enfants et attend des personnes désireuses de partager et construire.",citoy_lieuxdeviebasesnomad,#icon-503-DB4436
O A S I S  D E  L A  V A L E N S O L E T T E,,43.8747105,6.131492799999933,,,"DOMAINE DE LA VALENSOLETTE, 04410 PUIMOISSON, Alpes de Haute Provence (511 hab. Carte Mich. 81 pli 16 SO), tel. 04 92 74 72 76, e-mail: valensol@nnx.com.<br><br> <br><br> <br><br> <br><br>La première oasis en France a démarré en août 97 en partenariat avec Emmaüs dans une grande bâtisse sur 40 ha. de terres et bois. Actuellement, Pierre Rabhi préside l’association et Alain Le Talludec, sécrétaire, réside sur place. Le noyau avec 4 permanents doit s’elargir avec au moins l personne qui se chargera de l’accueil et d’éventuels artisans/animateurs et d’autres intéressés, en voie d’autonomie.<br><br> <br><br>L’accueil social et solidaire est l’activité nr. 1. Des projets liés à la réinsertion sont en cours de mûrissement: une activité artisanale de chauffe-eau en est un exemple. Les autres activités comportent l’agriculture (permaculture, maraîchage, céréales), l’élevage de chèvres, la phase préparatoire concernant les énergies alternatives, le lagunage et le futur développement du projet, ce qui demande des permis de construire. En pleine activité et source de revenus, est un programme de stages et d’ateliers très variés. Spécialement pour des personnes porteuses de projet Oasis ou Ecovillage: une formule d’accueil et de découverte des questions pratiques, organisatoires, relationnelles, relatives à la vie dans un lieu collectif.",citoy_lieuxdeviebasesnomad,#icon-503-DB4436
