"ajout ou modification des lieux de la carte du site http://utopies-concretes.org",,,,,,,,,,,,,,,,,,
"ATTENTION ! ne pas copier coller: saisir dans une nouvelle ligne les informations pour ne pas affecter les autres ajouts",,,,,,,,,,,,,,,,,,
NOM,ADRESSE,LAT,LNG,SCALE,CONTACT,WEB,DESCRIPTION,SOURCE,TAGS,COMMENTAIRE,,,,,,,,
"µFAD : micro ferme autonome durable","VC n°15 de l'Eze, 84120 Pertuis",43.678547,5.472845,,contact@micro-fad.org,http://micro-fad.org/,"Projet de vie intégré dans la nature : logement, eau, énergie (chauffage avec ressources locales)... Mise en place de solutions ""low-techs"" progressives pour remplacer les solutions électro-solaires ou électro-thermiques. Mise en place d'un jardin-forêt. Accepte woofers et bière fraîche.",misc,"agriculture home energy up1811",,,,,,,,,
"Le Florain","58 boulevard Albert 1er 54000 Nancy",48.698353,6.166853,,contact@florain.fr,http://www.florain.fr,"Association Le Florain, monnaie locale et citoyenne du sud de la Meurthe et Moselle",misc,"economy up1811",,,,,,,,,
"Nature Créative","Eco-site ""La Grange de l'Aveau"" 45 Route de Gizeux ",47.332555,0.189803,,nature.creative37@nordnet.fr,https://lagrangedelaveau.wordpress.com/,"Lieu de vie et d'activités permaculturelles recherche du monde.. allant vers l'autonomie. Bivouacs en belles saisons et squats en hiver pour rencontres, échanges, partages, coups de main, bien-être.. devenir associé.e.s ou juste de passage sur un lieu de 3ha avec ancienne ferme, potager permanent, verger,forêt, espace accueil pour activités associatives en place et à développer...",misc,up1811,,,,,,,,,
"Les Chaudronneries, résidence d'économies sociétales","124 rue de Rosny 93100 Montreuil",48.864222,2.452306,,residence@leschaudronneries.com,https://www.leschaudronneries.com,"Les Chaudronneries est un lieu de recherche, d’action et de développement dédié aux enjeux sociétaux et économiques. sa résidence d’économies sociétales accueille des associations, des groupes d’habitant, des entreprises et des chercheurs qui souhaitent répondre à des problématiques ou besoins de leur territoire. Ici designers, anthropologues, commerçants, urbanistes,développeurs, chorégraphes, paysagistes, ingénieurs, graphistes, journalistes (...) coordonnent leur savoirs, savoir-faire et réseaux. Ils se réunissent quotidiennement au travers d’ateliers collectifs, de rencontres conviviales et de temps d’expérimentation. Ici, chacun travaille sur le projet de chacun. Un principe coopératif indissociable de notre approche écologique.",misc,up1811,,,,,,,,,
"Association les Sheds","2A rue d'Illzach 68260 Kingersheim",47.791258,7.340409,,info@les-sheds.com,http://www.les-sheds.com/,"Installée au centre de Kingersheim, dans une friche industrielle réhabilitée par la commune, l’association les Sheds anime un lieu multiservices innovant autour d’un café-théâtre-restaurant, d’une épicerie, d’un marché paysan, d’un potager pédagogique et d’animations culturelles ou de sensibilisation à l’environnement. Un projet de sauvegarde du patrimoine tourné vers l’avenir : les produits sont tous issus de l’agriculture biologique, de saison et prioritairement issus de producteurs locaux. Fidèle aux principes de la charte « Terre & Humanisme » et à la philosophie de Pierre Rabhi, l'association souhaite placer « l'Humain au cœur du projet » : elle agit dès que possible en faveur de l'insertion des publics éloignés du monde du travail et a crée une vingtaine d'emplois.",misc,up1811,,,,,,,,,
"Le Troisième café","16 rue de Beauce, 75003 Paris",48.8629956,2.3613862,,contact@troisiemecafe.org,https://troisiemecafe.org/,"Un peu plus qu'un café traditionnel, le Troisième café est un restaurant associatif et solidaire qui propose une cuisine savoureuse à prix très doux. et dont l'objectif est de recréer du lien en plein cœur de Paris. Notre ambition : favoriser le mélange social, économique, culturel et intergénérationnel au cœur de Paris. Nous souhaitons que ce café soit un lieu d’échange, de partage, d’initiatives citoyennes où chacun puisse apporter ses idées et son enthousiasme. Les repas sont préparés à partir d'invendus récupérés auprès des magasins bio du quartier. Une partie des repas est distribuée aux personnes démunies sous forme de ""repas suspendus"" gratuits. Nous privilégions l'embauche de personnes éloignées de l'emploi. La gestion du café est désintéressée et de nombreux bénévoles participent à l'animation",misc,"eat up1811",,,,,,,,,
Potago,"Gometz la ville 91400",48.66808,2.11176,,potago@laposte.net,https://potago.wordpress.com/,"Potager associatif basé sur le partage et la coopération . Permaculture, semences anciennes, agroforesterie",misc,"agriculture up1811",,,,,,,,,
L'Herboristère,"la grée de la hactais, 35390 St Sulpice des landes",47.767111,-1.642766,,ju.lourdeau@laposte.net,https://lherboristere.wixsite.com/lherboristere,"Production de plantes aromatiques et médicinales, sur petite surface, dans le respect de la Nature et du Vivant.",misc,"agriculture up1811",,,,,,,,,
"Cintegabelle en transition","31550 Cintegabelle",43.31194,1.532263,city,bonjour@cintegabelle-en-transition.org,https://cintegabelle-en-transition.org,"Mouvement des villes et villages en transition",misc,up1811,,,,,,,,,
"Association SPHERES","Aurouze 43230 Mazerat-aurouze",45.189,3.559,,contact@assospheres.org,https://assospheres.org,"Fédération d'associations pour l'acquisition et la gestion horizontale d'un lieu collectif d'activités ouvert à tous",misc,up1811,,,,,,,,,
"Collectif La Forge 4.5","15 Bld Anatole France, 45200, Montargis",47.989658,2.731386,,"06 89 74 44 95  contact@laforge45.org",https://www.laforge45.org/,"FabLab - CoWorking - Showroom - Média. https://www.laforge-tv.org/regarder/video_musique/X0/, Dans l'ancienne caserne de pompier",misc,"web up1811",,,,,,,,,
"Association Velove","Siege social de VELOVE : 228 boulevard Mendes France, 45200 Amilly",47.977061,2.763711,,velovemontargis@gmail.com,"https://www.velovemontargis.org   https://www.facebook.com/VeloveMontargis/","Association pour la pratique et la promotion du vélo dans le Gâtinais. Vélo-école.",misc,"move up1811",,,,,,,,,
"	Association Mille Sourire","8 rue de Crowborough - 48 rue de l'Europe (atelier)",47.993142,2.741219,,"02 38 87 85 31 mille.sourires9@orange.fr",https://mille-sourires.org,"Atelier de vente, don et entretien de vélo participatif.",misc,"move up1811",,,,,,,,,
"De la fourche à la fourchette","rue jean lamy Châlette-Sur-Loing",48.007233,2.730811,,delafourchealafourchette.bio@gmail.com,https://www.delafourche-alafourchette.com,"un jardin-potager bio en libre cueillette à partir de 2019",misc,"agriculture up1811",,,,,,,,,
Montelovelo,"8 Rue Etienne Marcel Montélimar (quartier Nocaze)",445494976,47428239,,montelovelo@yahoo.fr,http://montelovelo.fr/,"L'association facilite l'usage du vélo à Montélimar à travers une vélo école, un atelier de réparation participatif et divers évènements conviviaux.",misc,"move up1811",,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
