Id,ModularityClass,Degree,OutDegree,InDegree,Tags,Urls
495d6ccd-e5b3-47ca-90d9-e863545595fc,B,1,1,0,,http://www.dailymotion.com/video/xtrtht
27038f1b-93e6-41ac-86aa-b0cd6902d4b1,A,14,11,3,act,http://beautifultrouble.org
c149e798-a886-4967-8e4c-dd8f8a2b38c1,C,53,49,4,map list,http://capoupascap.paris
4cc6adca-5872-402d-aa7b-d2d2b5d754a9,C,4,3,1,,http://elanglobal.org
59ac07a6-17a8-43fc-80a7-7ff045985c51,E,49,48,1,,https://15mpedia.org
925e202e-fe71-449e-9885-1ff857b30fbc,C,10,6,4,,http://www.mouvement-zeitgeist.fr/agir/individuellement/charte-du-mouvement
8488bd0f-d50f-4e0c-83a1-2dd6d29a054c,E,4,0,4,,http://reseauculture21.fr/amacca/le-reseau/
2e5cfa40-85a6-44be-bde3-b2141ba60eaf,A,12,7,5,media video,http://www.reporter-citoyen.fr
2810a095-43ac-4eb9-96f1-ca5a28be23a0,C,23,4,19,,http://www.slowfood.fr/slow-food-en-france
17a23ccc-03aa-47d8-930a-d0e208dd9c38,B,24,11,13,video,http://www.pierrecarles.org
c283fe79-6120-4387-b45e-7c5d3de3a6d4,D,55,26,29,,https://guide.boum.org
9c7d00eb-c0d0-48a0-b0d6-46b7a4e153ed,C,18,11,7,media,http://zangomedia.fr
dc174ce9-556f-44dc-97ac-b1c05fe422a7,B,1,0,1,map,https://www.google.com/maps/d/embed?mid=zObc46bS4Jts.kM-SMEA0C_m8
538ac740-1b91-464c-bf5a-7efe5a5953fb,B,29,2,27,politics,https://www.m6r.fr
95a0acca-6d66-4571-8461-2e056cb90e9a,C,9,7,2,,http://www.ecosocietal.org/articles.php?lng=fr&pg=18
7ae978d7-f9e2-48e9-9a76-207d2d1f5064,C,40,33,7,slow,http://www.decroissance.qc.ca/manifeste
cb23d909-073e-4cf3-9211-b3a6653e293a,C,1,0,1,video,https://vimeo.com/37089032
5a85ec9b-1d7a-4e5d-a09b-661a157b38d2,C,2,1,1,object,http://www.jedonne.org
0cf251e4-90fa-49a5-93f8-99e848e8d074,F,9,7,2,,http://www.alliancecitoyenne-38.fr/le-projet-2/lassociation/
b4a414ff-3ffa-4589-b63e-809de0713a2f,A,4,4,0,home,https://twitter.com/generationpreca
95564e52-8876-4c6c-ad53-6f1399740a43,E,16,11,5,creation,http://www.les-saprophytes.org/index.php?cat=sapro
e07ba353-4dd9-4ca4-b03b-400c38240165,D,34,3,31,text,http://www.lyber-eclat.net/lyber/bolo/bolo.html
8c1a8d85-46a8-4422-af8a-2d5b9eec8bf5,E,78,14,64,web,https://www.torproject.org
07719734-4589-4c3d-8045-2dbb947f0e8c,C,7,7,0,,https://abecedaireduchangement.wordpress.com/2012/05/11/avant-propos-2/
e77a3ec0-f037-4bea-9373-3938730c0100,C,72,27,45,economy,http://monnaie-locale-complementaire.net/france/
5f06df73-aceb-4b01-935e-11f2ae9a14aa,C,4,2,2,creation,http://www.commeunpoissondanslart.fr
5579fddd-af02-459e-87bb-303122267e62,C,12,0,12,media,http://www.les-indignes-revue.fr
72eb02f7-966d-47e3-8c35-8ff0c68047bd,C,4,1,3,,http://www.manifeste.attac.org
848e004c-f15a-47c8-a471-0bcdf6727f78,C,26,8,18,object,http://www.co-recyclage.com
eecd338e-0dc1-4d89-8ffc-4acaeb4bf6d6,C,14,8,6,group,http://gpclimat.be/notre-charte/
8a0e33af-e8a9-4057-8df3-ac8b6a4a1103,C,40,17,23,,http://universite-du-nous.org/a-propos-udn/ses-outils/
80cbfe33-06c5-4e9d-8441-c205f4bbf075,A,20,1,19,,http://leclimatchange.fr/questions-reponses/
71739112-2dc5-48ab-b57e-45063c83fa19,C,41,30,11,list,http://www.spirale.attac.org
516aa23d-f809-4c50-a8f0-27c96dc83e91,D,60,28,32,,http://www.primitivi.org
d5cde0c9-19bd-4d03-bf7e-407c5ac937c6,D,34,22,12,act love,https://brigadeclowns.wordpress.com/le-manifeste-de-larmee-des-clowns/
37564bd5-4264-4255-a44b-23e135afd0da,D,13,6,7,text web,http://les451.noblogs.org/post/2012/11/22/la-querelle-des-modernes-et-des-modernes/
944917b1-b27c-41b9-b164-92c0e9a9d78f,D,8,3,5,,http://www.perou-paris.org/Manifeste.html
42930fa0-1e2a-4a41-876b-be70cf907d9d,A,2,1,1,,http://asso.apne.free.fr
600fc5c3-9fe7-4d6a-aecd-9eb0eefbe862,F,45,15,30,home,http://www.jeudi-noir.org
fc2d380e-3f07-46f7-9b71-abce85719226,B,119,1,118,,http://lmsi.net/?page=presentation
e59797b4-55fa-4e1a-afad-f1150128b96f,A,47,24,23,eat,http://www.amap-idf.org
e20bccbf-ad6e-4679-838d-79ed5eea0aff,E,152,85,67,web,http://www.internetactu.net/2015/05/07/technologie-cest-a-nous-den-etre-les-maitres-oui-mais-comment
79365265-e88c-4bd8-a102-6fcf07b06fdb,A,9,8,1,,http://gpclimat.blogspot.ch/p/texte-fondateur.html
c18627eb-6271-4cf2-9670-cddbbc82d40a,C,40,13,27,group,http://www.institutmomentum.org/le-manifeste/
b526513e-aff7-4811-818d-c36b0c0313c2,A,4,0,4,video history,http://www.maintenantnosterres.com
49feb6b2-a9be-4930-a0e9-2fda05b5081a,C,9,2,7,web science,http://technologos.fr
ea74c242-943b-46b3-91ba-845168e6497c,NC,0,0,0,video,http://www.dailymotion.com/lappeletlapioche
2b3b9eef-ca5a-42f7-a444-2a764aae864d,C,31,1,30,move,http://covoiturage-libre.fr
3394d78c-d601-4937-aa64-b957c996bb4b,C,13,1,12,object,http://myrecyclestuff.com
dbc7f967-c2f9-415e-ad4b-d2d7f1e5d01a,B,7,7,0,creation,http://pouleouoeuf.com/fr
d376ec55-9804-4a2e-a5e5-87b20b73167f,B,19,13,6,,http://jaiundoute.com
5c4c180a-7f5e-4006-8642-936def516280,B,32,9,23,,http://partage-le.com
05f19401-5da5-4836-80f9-4230b8b4c00c,B,8,0,8,,"http://www.influencia.net/fr/actualites/com-media,audace,dessine-moi-drogue-numerique,5342.html"
01252107-1bd7-4ce3-bd9b-bc3da64b3ee3,A,29,26,3,economy companies,http://jechangedebanque.org/toutes-les-banques-ne-se-valent-pas/
c0698853-9834-4fc5-bbff-0428d85c5cb2,A,35,22,13,,http://www.financeresponsable.org/entreprise.php
92b67418-91c6-4fc6-9e1c-980f509b68c6,B,214,155,59,map,http://lesmoutonsenrages.fr/carte-des-moutons-2/
0b52d3bc-442c-4684-9649-6ca1add227c2,B,1,1,0,,http://www.hclbox.org/fr/boxes
4e21c8ca-d246-42cb-9805-ec1632dd830c,C,8,3,5,,http://dark-mountain.net/about/manifesto/
86e67904-a37e-4ada-a688-a06f9344a606,A,67,34,33,map list economy,http://www.lemarchecitoyen.net
217bca75-2e86-4695-88a4-72f7c3d65307,A,36,32,4,,http://transition-paysstbrieuc.org
b521c0bd-8677-4a03-ae5d-d887cacea97e,E,6,2,4,,http://transitiondemocratique.net
8b7c332d-e61f-4894-b559-0e1c23064a99,C,68,54,14,,http://montreuilentransition.fr
ea421006-8a0a-4c32-b8ce-2c4532814a6d,C,4,0,4,,http://quebecentransition.org
3f67b797-8c0a-4a4a-b794-729e2f259046,C,187,101,86,,http://www.transitionfrance.fr
9310a1fe-3c31-49bc-aafa-57afc6112085,C,85,48,37,alienation group,http://www.deboulonneurs.org
7d35e654-c8ea-4da6-9320-cd87d8035d00,C,17,1,16,object,http://recupe.net
5522a4ed-d593-45ea-8e5a-d5db7025d7b8,C,30,15,15,,http://transitionus.org
3fb42637-e5a0-4630-b6cc-92a7760ecd4b,C,140,65,75,group,http://www.transitioncitoyenne.org
e7e56d5e-1060-4e56-b735-d16b35911aeb,C,4,0,4,economy,http://revenudebase.free.fr
3beac5c2-28e7-472c-a8c0-9f1f258918b2,C,9,0,9,,http://www.en-transition.fr
46c24dcf-0e8c-4e31-8430-c9d4eadafb06,C,1,0,1,,http://2mains-asso.fr
5c169bd1-fe7d-4579-8488-25ce1066b64d,A,8,8,0,,http://alternati-var.tumblr.com
2436fe97-2608-4842-a8ea-e64fb13be625,A,153,3,150,,http://www.actu-environnement.com
63175dab-8d4d-4503-b32e-dcfc7fd7bdb3,C,43,25,18,,http://www.reseautransition.be
dd3b87d3-9fa6-4ccd-a97e-deef0d90d73e,B,6,0,6,,http://www.mrc-france.org
07ee8471-49fb-4cb3-9ce8-ec5b31edafd9,C,39,39,0,video,http://utopimages.fr
d78a4110-dc4d-4e36-90ba-68ecfe548ec8,B,53,44,9,,http://conscience-du-peuple.blogspot.com
f69e79a7-4a4b-4ad7-b836-5b2e48e540ee,E,43,40,3,,http://opendotdotdot.blogspot.com
97b67d21-a7fa-4472-8f34-03c506187d04,E,15,13,2,,http://deepgreenresistance.blogspot.com
4a5e7518-61be-432b-a8fa-96e9c86d3e94,C,5,2,3,economy,http://le-revenu-de-base.blogspot.com
6401546e-482c-415f-a677-272ad1b6a843,E,1,0,1,audio,http://radio-guerrilla.blogspot.com
1dc56c2b-889f-44cf-a07a-6b8d62df7013,C,1,0,1,off,http://tempetemob.blogspot.com
795c1844-1005-46e2-8dae-514a40dfd9ae,B,254,85,169,media,http://www.agoravox.fr
0544f70f-3739-4538-b267-eefe56e9dbab,F,44,14,30,calendar @angers @maineetloire,http://alter49.org
9b5b9260-b03a-4281-bb1d-ae4001df826a,C,41,40,1,,http://animal-penseur.blogspot.com
f49d7040-e6d4-4248-adc5-45104bb42722,B,17,16,1,,http://aulapinblanc.blogspot.com
f004ac71-4987-4fef-9877-c83bcdb0a945,A,16,9,7,,http://collectif3r.blogspot.com
ede29686-b403-4963-82f6-c17471f06be7,B,8,4,4,,http://leclebard.blogspot.com
388666fa-3173-4e17-ab62-53c6d29762f0,A,15,13,2,,http://chavilleentransition.com
60e682e7-3465-4a91-bfb6-c87ee27b4221,A,209,202,7,,http://mediascitoyens-diois.blogspot.com
615eabe1-69eb-45e2-aab8-7a9b096a6213,A,95,0,95,energy,http://negawatt.org
19b042ef-d756-4b60-af70-ec90ff6f7e17,C,2,0,2,,http://cantal-en-transition.org
4db71e83-bd12-43ea-acd6-bd8c859c921f,B,56,43,13,,http://onsefechier-anatic6.blogspot.com
3c208d7f-6813-40e5-8d5a-e1aef20b652c,B,35,34,1,,http://canard-aux-figues.blogspot.com
49698648-1e44-4269-b74b-ad992b5fdf94,NC,2,1,1,,http://commedesguilis.blogspot.com
0e2f5a8c-21c8-480d-8c1c-7e025ea5627f,E,5,0,5,,http://observatoire-territoires-durables.org
d243266c-41be-44fb-80b8-a6e2b83eb586,F,2,0,2,,http://alter49.free.fr
938a506e-a2df-446d-91f7-d761e81dc05e,C,4,0,4,,http://alter-actifs.org
a551fae9-8a94-4b28-8362-3ab39e8419f2,D,6,3,3,,http://marchedeschomeurs-brest.blogspot.com
c902e8b8-3640-47fc-bc13-fef0809e0c1c,B,16,8,8,,http://ladominationdumonde.blogspot.com
f9839f0d-ae85-45d5-a06f-d9ea19c11ddb,C,1,0,1,,http://laurie-apprentie.blogspot.com
c3eb5b6f-b331-4a29-87a8-edce8c33d62e,B,15,7,8,,http://lesoutien.blogspot.com
d4188ab9-a0f1-4593-9994-b81358f439e6,E,1,0,1,,http://twitter.com/ReclaimCommons
b941267b-bed7-401f-bedd-47e8c91362a2,B,1,0,1,,http://amisdumondediplomatique66.fr
01ae1a61-df00-4b2d-a660-c7bf9e9a6883,B,4,3,1,,http://anti-ntp.blogspot.com
34c63b61-54b5-45a2-adcb-62b45d711433,B,1,0,1,,http://soutien-rebellion-donbass.blogspot.com
a9887b6b-0cbb-412c-bb66-17caaa70ba73,D,31,0,31,,http://altervista.org
2e9be9ba-2200-41d2-aba3-b4df7fc294e0,C,24,22,2,,http://attentionalaterre.blogspot.com
8c7a1f48-0977-402b-8161-02e88aed423a,B,40,39,1,,http://lafourmirouge.blogspot.com
b16788ad-4243-475a-aa6e-a9a43925d777,C,13,0,13,,http://festival-transition.coop
1335210b-7b72-429d-a3b9-56b7e4d78fc2,C,4,0,4,video,http://utopimages.org
4e0afd48-9e50-4259-a010-807ed102a8f2,A,25,24,1,,http://defenseetenvironnement.blogspot.com
a5eccb3d-e14a-468f-9594-fc8f65bb6e92,D,3,2,1,,http://mysticbourgeoisie.blogspot.com
2b2e1fc9-d320-4991-95cd-5b0faec578c5,B,25,23,2,,http://contrelaprecarite.blogspot.com
a82c05bc-14ab-41a3-963e-99821a3a181b,C,1,0,1,,http://transitionquebeccentreville.org
4af7fb6e-864f-4920-ae44-96a825183fbb,C,7,4,3,,http://lacaravanedesespaceslibres.blogspot.com
5de356b3-ddd7-4783-af6a-7c24bf7eef13,A,18,17,1,,http://transition-energetique32.blogspot.com
d51e8f88-9a6f-4de2-bd77-72244dc2cd54,C,17,12,5,,http://liegeentransition.be
03abbfe6-1d94-4a48-b657-a519907b9c01,C,3,0,3,,http://argentdubeurre.com
4ce5a193-8b83-4d5b-8f32-6e3b8502533b,C,2,1,1,,http://sorsdeterre.blogspot.com
bb6bc7e8-afb9-406f-9352-8eeb3d7c7528,C,12,8,4,,http://altereco30.com
111d5d2c-fd8d-4a99-9b63-6133f63c7b43,B,21,4,17,,http://www.acteurspublics.com
1f0831fa-2b94-4ad4-a26f-6222d4ebac02,A,11,8,3,object,http://www.debrouille.com
5482bfc5-70d8-4f01-9236-3e650fb42bac,C,32,19,13,,http://passerellesud.org
6f7590b3-437d-4772-91b6-fadf3ff966e9,A,3,0,3,,https://www.facebook.com/Alternatiba.paysdelorient
af2276ae-a23a-42f2-a6d0-60993dd1fb24,C,14,9,5,,http://transitionparis20.org
4c46d2c4-45f7-4657-ae2f-a9050e9d1fa0,C,6,4,2,,https://arlestransition.wordpress.com
11b25bd3-97bd-4aef-9afc-8f167f317040,C,10,7,3,,http://www.bordeaux-transition.org
d71c7421-f9a7-462f-9bef-61f8f85b3b23,A,72,10,62,eat,http://biocoop.fr
2ad76eab-0b61-40fc-913d-098c05a73d07,A,8,6,2,,http://www.saveursdurables.fr
90eafc85-fd4c-4896-999f-5846b72455fe,A,6,0,6,,http://www.aide-et-action.org
2c56bf1a-862a-4416-9251-3d6a7bf82e81,A,43,39,4,,http://alternatives-economiques-education.fr
e07dffce-b892-471d-86ef-d0e067265f06,NC,0,0,0,,https://www.facebook.com/PeupleDuMondeReveillezVousOnVousMent
9784a9b1-5b0d-4fae-b749-8f6b630c8a07,C,3,2,1,,http://transition-pays-allevard.blogspot.com
56b85ca2-65ba-430b-bd9d-3b39c7423cf4,B,8,7,1,,http://populiste-impenitent.blogspot.com
d29ca51a-588f-4e73-bf37-f55d8e4913eb,B,16,14,2,economy,http://antibanque.blogspot.com
e39a561d-986b-41a7-9db5-e3620ef147b8,C,177,175,2,,http://www.alter-actif.com
371b1780-c7cc-4b65-bb64-94a0fb25ffb1,C,3,1,2,,http://jptransition.org
349096ac-e081-4f3e-9573-ed01f6114d15,D,16,12,4,,http://alternatives34.ouvaton.org
3a71a1ee-a3c9-483d-9d95-a84ca612906b,B,1,0,1,,http://argenteuilblog.fr
8f9895b5-4f37-4550-890b-be62248b638c,B,59,32,27,,http://altermonde-sans-frontiere.com
99f64204-9885-4169-9110-589e084b59e7,A,37,17,20,,http://reseauecoleetnature.org
21a4c3ec-2d9a-4840-8ee8-ebb1b1940c7a,C,3,2,1,,https://orthezbiodiversite.wordpress.com
d2a08866-20a6-4e19-a117-5bfa43d2f962,C,5,4,1,,http://www.crystalpalacetransition.org.uk
fef6d933-1c14-4e4f-99c8-fbc26c32ca43,C,2,1,1,,http://lutopiste.com
60b3065c-adfe-46a2-bdeb-2383eec57576,B,51,13,38,,http://indigenes-republique.fr
bb4b2788-9d2b-41ca-81bb-ca92b512bc0b,B,14,10,4,law home,http://jurislogement.org
5252b56c-3973-4ab7-aa6a-4ca1ffcfcee0,A,26,10,16,,http://agrobio-bretagne.org
242e9eb6-a697-417e-8ced-5b6cbcc4de68,A,1,0,1,,https://www.facebook.com/alternatibanarbonne
191b3ee5-8da2-46b8-8a04-5e796393d6e9,B,27,20,7,,http://convergence-sp.org
714fa95d-99bd-4afa-bbcd-3fde046768af,B,2,0,2,,http://parolesdesansvoix.org
f2c46ea3-f86e-4f2a-b851-4f143013af74,D,9,3,6,act love,http://www.libertederire.net
b9715ae8-7326-4530-9818-80cbfbc37f34,D,170,88,82,,http://www.cip-idf.org
26006ae3-56fe-46fc-a07c-b77b6c60b429,D,70,6,64,text,http://editionslibertalia.com
c9f6ba0f-de33-4fa0-a51a-13ef56077e79,F,2,1,1,,http://espace-public-de-mediation.blogspot.com
0a09786b-d3d4-4007-9caf-34178985755c,D,26,6,20,text,http://editions-libertaires.org
dc3137f9-d015-430b-b64d-46a87c7bcab1,D,1,0,1,,http://leobidois.blogspot.com
ba469020-78b0-4410-8328-1b2fed86fd2d,A,29,19,10,,http://quotidiendurable.com
f0816f28-23ea-4113-a36f-8c8ea59d011f,E,18,2,16,,http://opendatacommons.org
164fb08c-d6e2-4e5f-b62e-41a03bf0c2af,E,18,6,12,,http://www.atelier.net
19e011ff-2148-44e1-a1f5-fe6eb873d683,C,7,6,1,,http://etre-au-monde.fr
f179821f-a803-4ea5-b8d5-70b3c31d32ee,D,2,1,1,,http://lepoingpresselibertaire.org
adf61b0b-8158-47ba-acd6-00c2d8713468,A,3,0,3,off economy,http://aidonslargent.org
59d77e44-9f01-423e-a240-63980c8b552c,C,36,28,8,,https://rambouilletentransition.wordpress.com
4b4de7e6-4957-4b75-9223-910cb296c027,C,6,4,2,,http://postcarboncities.net
4033f16d-53ed-498d-a14b-49fd4bc3f0e6,NC,0,0,0,,http://www.wikiconstructiondurable.fr
310bfb33-7353-4e2e-96f3-98836ef4f616,A,4,0,4,,http://alternatiba-nancy.fr
75f6f6a4-ae73-440f-a794-9317264bbe42,D,57,29,28,,http://entremonde.net
fe3a5f99-9fca-4c1e-8809-490b87aaa2a6,E,10,2,8,politics,http://onthecommons.org
a93dd8c3-1ae7-470d-950a-48b3b2d96bea,C,26,25,1,,http://salontransition.fr
b0cc9208-68ff-49ab-823c-3771241d0cbe,A,32,29,3,,http://jaimelabio.fr
377c5b57-7f09-4732-90b3-9edcdc8bfb5e,B,28,17,11,,http://alterinfos.org
8730c63b-ab00-4653-904f-56beda48eaef,E,13,9,4,space,http://alternativesurbaines.ch
9a1e81b4-4b2b-4ac6-8894-90c80fbb3a85,C,2,0,2,,http://consomacteurs.com
cd555c22-9fad-4aa8-be3c-0cac69b28782,D,144,103,41,,http://juralibertaire.over-blog.com
86a25436-c9a0-4e0c-8ca7-43f47670a451,A,4,1,3,,http://alternativaseconomicas.coop
ec5bf701-1421-4cdc-8438-77d7b6152539,A,12,3,9,ngo,http://actionaid.org
cacbff97-2be3-467d-9c24-860d3dfcdc46,C,11,8,3,,http://transitionaupays.eu
dde95b8c-ad3c-420a-9389-fa2528227d89,E,31,10,21,education group,http://lespetitsdebrouillards.org
34d77c47-5d64-4d34-970f-0518f115d072,C,2,0,2,,http://oneyearintransition.org
ccfe7887-bc7d-4b28-94c0-72d5ef4be11f,A,102,50,52,,http://bioconsomacteurs.org
369343c2-05c1-450f-a9a3-cb0f11b51d03,A,12,0,12,,http://policyalternatives.ca
66428ba5-5916-4912-8555-07c50268e1f7,B,158,154,4,,http://ploutopia.over-blog.com
6d45d861-c113-417a-8e87-20e386d618cf,A,37,19,18,,http://www.repasbio.org
d67cff6a-9a8f-44ea-90da-787e6475c892,C,18,5,13,,http://convergenceenergetique.org
75bc0b7b-e86d-475b-a507-9562b3936684,C,47,43,4,,http://auteriveentransition.blogspot.com
00fceca9-874c-4a68-b6f2-408a3d59c2a6,E,2,0,2,,http://pointderassemblement.blogspot.com
7f502ce4-f154-4270-b8ac-12b9bca8b1e0,D,7,5,2,,http://libertaria.it
b4443b64-ca75-4433-8b93-71d472d6582d,C,1,0,1,,http://kiwisflambeurs.blogspot.com
6993e77b-3a2a-4e3a-9b6a-bb3442c5eff2,A,54,18,36,,http://bio-dynamie.org
531f16c3-dcaf-4d6d-8982-65822f682a70,D,169,114,55,media text words,http://jefklak.org
e042a0ca-87ca-4f23-9bf2-fbb57fcab976,B,60,55,5,,http://conscience-sociale.blogspot.com
bddf39cb-1008-4438-b083-88c79f397916,C,5,3,2,,http://transition-villeurbanne.fr
c7c9127f-0ba9-43cf-8f94-4940c2deb8f7,A,5,1,4,,http://atelierdecosolidaire.com
093e30a8-f7d4-4b39-ba98-59d78554a87a,C,46,26,20,,https://quartiersentransition.wordpress.com
2e6caa38-13d5-42a7-9d71-a54a571431b6,C,9,8,1,,https://ceretentransition.wordpress.com
257f548b-5e57-4593-a4a1-d2b504b78014,C,5,3,2,,http://orleansentransition.net
ec7f3fb0-2d49-4fb5-be1f-cc1657cbc758,D,12,9,3,,http://collectifconvergence.blogspot.com
c936b7ca-4689-4c01-9c7f-c20d211a5401,B,10,10,0,,http://broderpourlapaix.blogspot.com
3a6b04d2-b445-4e69-a233-469cb2e7f916,E,2,1,1,,http://collective-action.info
2d749c5f-7b5c-4448-ad61-09196246b15e,B,1,0,1,,https://www.facebook.com/lutopiemalgretout
53d658b8-8921-4a49-8675-8a067571877f,NC,0,0,0,,https://www.facebook.com/ParklarBizim
d198ea5d-4624-4093-a38a-68a95279e008,B,66,19,47,,http://alterinfo.net
1b1a430b-0617-4f0d-aa9f-2bce1e2d21fd,A,92,29,63,,http://www.artisansdumonde.org
79d6c1db-a733-44d6-b763-3c06f601f3b1,B,80,42,38,media work zad,http://terrainsdeluttes.ouvaton.org
796d6ab0-4e6c-4131-aba4-74cc8026a0b4,E,14,14,0,,http://electrospaces.blogspot.com
511cb6a3-a18a-436d-9df3-cdc3fcf88cfa,C,58,51,7,,http://epinal-en-transition.fr
690dc4a5-d6cf-4157-9dae-d1291bcc76e4,C,16,14,2,,https://batirdesalternatives.wordpress.com
88709204-95bd-4eaa-9996-981a588c84de,A,86,61,25,group,http://www.mouvementutopia.org
5c9b2544-7f5c-4d6d-9b07-e8e789ceed83,D,57,43,14,,http://anarlivres.free.fr
4991fd46-ab52-410b-95f2-0cac15e87dc6,D,11,10,1,,http://collectifavs75.blogspot.com
ab566a29-e701-4c33-a0a9-57916a7a1b7d,A,34,33,1,,http://alexisboudaud.blogspot.com
406c4737-e64d-4506-96f8-2baeb3e4a3f6,D,58,6,52,map text words,http://www.librairie-quilombo.org
f2678ccc-6869-45b2-b5c0-63eec0bd16c9,A,4,1,3,media,http://www.courantalternatif.com
abe12dc6-05b8-4dc5-aaca-bb208ae416d3,E,10,3,7,economy,http://www.comprendrelargent.net
c3a5f6da-074c-454b-9ca2-80a76bdf53c0,D,173,162,11,,http://www.medialternative.fr
7da79299-b2bb-45fd-b815-8792d34d333b,C,45,41,4,,http://transitioncitoyennesemnoz.org
c11f4be8-809b-46ce-83a3-a84de96b4ed3,D,12,2,10,,http://journalhorsservice.blogspot.com
ea3a8564-6a60-4db5-9b12-ff0570fd0570,E,1,1,0,,http://rosnypotagers.blogspot.com
04af2300-fb71-4267-a4fd-17a6c2e74d92,C,111,79,32,,http://acteursduparisdurable.fr
57b7274b-37f5-4fd8-9791-6a71541da02a,A,131,65,66,agriculture,http://semencespaysannes.org
733aebfd-f538-45b4-a320-74d656a5ac74,C,47,43,4,,http://transitionparisidf.fr
32b0e852-de64-4652-b7fa-c0c56d81c820,A,10,6,4,,http://fondation-ekibio.com
f12eac99-c29b-4c0a-8ed1-249b14ffdc37,E,2,1,1,,http://developpementdurablerosny93.com
a5bea91e-bde6-45f8-9299-2be0e237c3f8,D,176,73,103,,http://alternativelibertaire.org
02545605-2629-4fc3-b255-37ace7abb67b,A,16,6,10,text,http://editionsalternatives.com
65e605ca-df3f-4b47-b733-d93d5d802d4c,D,1,0,1,,http://danslecieltoutvabien.blogspot.com
35d94d29-30b7-4a81-be2f-c7888e634215,A,14,0,14,,http://alter-echos.org
87cac2ff-747d-4380-b93b-189502761b9d,A,197,105,92,web tool,http://cyberacteurs.org
0e624ae2-b078-45a9-a2ff-adfa88e7bfb8,A,42,34,8,,http://www.salonbioeco.com
17b4df4a-be33-4f1b-9317-e7819d13921b,C,35,16,19,earth economy energy,http://www.postcarbon.org
d54d76b8-daae-4359-b7e9-f063ec32e1b2,B,79,75,4,,http://lesaventuresdeuterpe.blogspot.com
35bad630-376c-41f4-b058-4665f5102349,D,44,25,19,group,http://crimethinc.com
9e173cfb-f156-4e53-806f-05ed96f89c2d,D,38,34,4,,http://contrecapital.blogspot.com
8211723e-ad5c-4cec-97a2-64d2d6bec5d9,NC,0,0,0,,https://www.facebook.com/SemurEnTransition
7755faa5-01da-4bba-91e6-e5ea0d71096e,A,17,10,7,,http://salon-naturabio.com
b9f5a53b-43d0-4495-8b8f-2d8c62b310bb,A,14,10,4,,http://jeveuxmonbacbio.org
c61018e9-bef4-4a3c-af43-6ed97542c76e,E,1,0,1,,http://biodegrad.com
16194cd9-ae62-4502-b373-c4e20be4216f,B,4,2,2,,http://survivreauchaos.blogspot.com
c5527d9c-6bc0-4f71-a07f-0bfcf20efb22,A,2,1,1,video,https://www.youtube.com/user/MlleMondialisation
